Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
501,2016-05-01 01:57:00,2016-05-01 02:15:00,B8.6,POINT(948.02652 -81.545262),"POLYGON((16.683508 85.581438,16.683508 85.581438,16.683508 85.581438,16.683508 85.581438,16.683508 85.581438))",POINT(0.999829962800686 265.083758339342),"POLYGON((0.091619 348.968934,0.091619 348.968934,0.091619 348.968934,0.091619 348.968934,0.091619 348.968934))",POINT(-152.60608 -5),"POLYGON((119.39392 1,119.39392 1,119.39392 1,119.39392 1,119.39392 1))",UTC-HGS-TOPO,POINT(89 -5),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-05-01 02:00:00,True,,2537,90.0,-4.0,88.0,-6.0,-81.545262,948.02652,-5.0,89.0,951.5271474729235,0.0
502,2016-05-01 09:14:00,2016-05-01 09:27:00,C2.4,POINT(-507.884976 348.258168),"POLYGON((16.682199 85.065624,16.682199 85.065624,16.682199 85.065624,16.682199 85.065624,16.682199 85.065624))",POINT(0.647128959288814 55.5614569350243),"POLYGON((0.091094 348.904549,0.091094 348.904549,0.091094 348.904549,0.091094 348.904549,0.091094 348.904549))",POINT(80.38306 18),"POLYGON((115.38306 1,115.38306 1,115.38306 1,115.38306 1,115.38306 1))",UTC-HGS-TOPO,POINT(-34 18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-05-01 09:22:00,True,,2539,-33.0,19.0,-35.0,17.0,348.258168,-507.884976,18.0,-34.0,615.8172622014072,0.0
503,2016-05-01 10:03:00,2016-05-01 10:20:00,B4.8,POINT(-494.683158 348.851904),"POLYGON((16.682053 85.007682,16.682053 85.007682,16.682053 85.007682,16.682053 85.007682,16.682053 85.007682))",POINT(0.63610073158334 54.80840575041),"POLYGON((0.091035 348.897269,0.091035 348.897269,0.091035 348.897269,0.091035 348.897269,0.091035 348.897269))",POINT(80.93332 18),"POLYGON((114.93332 1,114.93332 1,114.93332 1,114.93332 1,114.93332 1))",UTC-HGS-TOPO,POINT(-33 18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-05-01 10:09:00,True,,2539,-32.0,19.0,-34.0,17.0,348.851904,-494.683158,18.0,-33.0,605.3173363891689,0.0
504,2016-05-01 12:38:00,2016-05-01 12:49:00,B3.0,POINT(-465.085698 365.362596),"POLYGON((16.681589 84.824268,16.681589 84.824268,16.681589 84.824268,16.681589 84.824268,16.681589 84.824268))",POINT(0.621528892094324 51.8474872202278),"POLYGON((0.090848 348.874161,0.090848 348.874161,0.090848 348.874161,0.090848 348.874161,0.090848 348.874161))",POINT(81.51069 19),"POLYGON((113.51069 1,113.51069 1,113.51069 1,113.51069 1,113.51069 1))",UTC-HGS-TOPO,POINT(-31 19),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-05-01 12:42:00,True,,2539,-30.0,20.0,-32.0,18.0,365.362596,-465.085698,19.0,-31.0,591.4343015416052,0.0
505,2016-05-01 14:06:00,2016-05-01 14:28:00,B5.8,POINT(-614.69352 401.95386),"POLYGON((16.681327 84.720042,16.681327 84.720042,16.681327 84.720042,16.681327 84.720042,16.681327 84.720042))",POINT(0.771832670164555 56.8189506284045),"POLYGON((0.090742 348.860986,0.090742 348.860986,0.090742 348.860986,0.090742 348.860986,0.090742 348.860986))",POINT(67.703 22),"POLYGON((112.703 1,112.703 1,112.703 1,112.703 1,112.703 1))",UTC-HGS-TOPO,POINT(-44 22),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-05-01 14:15:00,True,,2540,-43.0,23.0,-45.0,21.0,401.95386,-614.69352,22.0,-44.0,734.4487927002741,0.0
506,2016-05-01 22:50:00,2016-05-01 23:16:00,B5.0,POINT(-412.38828 351.543786),"POLYGON((16.679768 84.098076,16.679768 84.098076,16.679768 84.098076,16.679768 84.098076,16.679768 84.098076))",POINT(0.569527946909363 49.553793851716),"POLYGON((0.090109 348.78171,0.090109 348.78171,0.090109 348.78171,0.090109 348.78171,0.090109 348.78171))",POINT(79.89349 18),"POLYGON((107.89349 1,107.89349 1,107.89349 1,107.89349 1,107.89349 1))",UTC-HGS-TOPO,POINT(-27 18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-05-01 23:11:00,True,,2539,-26.0,19.0,-28.0,17.0,351.543786,-412.38828,18.0,-27.0,541.8921728135332,0.0
507,2016-05-01 23:30:00,2016-05-01 23:47:00,C2.5,POINT(-412.38537 351.5025),"POLYGON((16.679649 84.050502,16.679649 84.050502,16.679649 84.050502,16.679649 84.050502,16.679649 84.050502))",POINT(0.569501516873517 49.5569164635203),"POLYGON((0.09006 348.775599,0.09006 348.775599,0.09006 348.775599,0.09006 348.775599,0.09006 348.775599))",POINT(79.52634 18),"POLYGON((107.52634 1,107.52634 1,107.52634 1,107.52634 1,107.52634 1))",UTC-HGS-TOPO,POINT(-27 18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-05-01 23:38:00,True,,2539,-26.0,19.0,-28.0,17.0,351.5025,-412.38537,18.0,-27.0,541.8631754384928,0.0
508,2016-05-02 03:01:00,2016-05-02 03:13:00,B3.1,POINT(460.567572 157.999794),"POLYGON((16.679023 83.799324,16.679023 83.799324,16.679023 83.799324,16.679023 83.799324,16.679023 83.799324))",POINT(0.511770034689439 288.934763883168),"POLYGON((0.089805 348.743225,0.089805 348.743225,0.089805 348.743225,0.089805 348.743225,0.089805 348.743225))",POINT(133.58966 6),"POLYGON((105.58966 1,105.58966 1,105.58966 1,105.58966 1,105.58966 1))",UTC-HGS-TOPO,POINT(29 6),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-05-02 03:10:00,True,,2535,30.0,7.0,28.0,5.0,157.999794,460.567572,6.0,29.0,486.9152115943982,0.0
509,2016-05-02 07:12:00,2016-05-02 07:35:00,B4.5,POINT(-323.655396 369.211416),"POLYGON((16.67828 83.500038,16.67828 83.500038,16.67828 83.500038,16.67828 83.500038,16.67828 83.500038))",POINT(0.516074380790899 41.2382148372414),"POLYGON((0.0895 348.704404,0.0895 348.704404,0.0895 348.704404,0.0895 348.704404,0.0895 348.704404))",POINT(81.28581 19),"POLYGON((103.28581 1,103.28581 1,103.28581 1,103.28581 1,103.28581 1))",UTC-HGS-TOPO,POINT(-21 19),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-05-02 07:20:00,True,,2539,-20.0,20.0,-22.0,18.0,369.211416,-323.655396,19.0,-21.0,490.98868119809225,0.0
510,2016-05-02 08:32:00,2016-05-02 08:47:00,C3.5,POINT(-485.437032 393.534432),"POLYGON((16.678044 83.404542,16.678044 83.404542,16.678044 83.404542,16.678044 83.404542,16.678044 83.404542))",POINT(0.65685233595986 50.9689853021993),"POLYGON((0.089403 348.69196,0.089403 348.69196,0.089403 348.69196,0.089403 348.69196,0.089403 348.69196))",POINT(68.55152 21),"POLYGON((102.55152 1,102.55152 1,102.55152 1,102.55152 1,102.55152 1))",UTC-HGS-TOPO,POINT(-33 21),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-05-02 08:42:00,True,,2540,-32.0,22.0,-34.0,20.0,393.534432,-485.437032,21.0,-33.0,624.9147631529693,0.0
