Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
382,2015-06-02 10:12:00,2015-06-02 10:28:00,B6.4,POINT(-776.172 -27.8265),"POLYGON((-780.594 -36.15984,-771.162 -36.03114,-771.636 -19.49076,-781.068 -19.62066,-780.594 -36.15984))",POINT(0.821338036134777 92.0532284999047),"POLYGON((0.826372 92.652245,0.816402 92.675095,0.816274 91.446927,0.826249 91.438984,0.826372 92.652245))",POINT(146.38483 -2),"POLYGON((145.88483 -2.5,146.88483 -2.5,146.88483 -1.5,145.88483 -1.5,145.88483 -2.5))",UTC-HGS-TOPO,POINT(-55 -2),"POLYGON((-55.5 -2.5,-54.5 -2.5,-54.5 -1.5,-55.5 -1.5,-55.5 -2.5))",2015-06-02 10:17:00,True,,12358,-54.5,-1.5,-55.5,-2.5,-27.8265,-776.172,-2,-55,776.6706429924141,1
383,2015-06-03 20:41:00,2015-06-03 21:59:00,C1.3,POINT(-731.262 249.0072),"POLYGON((-737.718 240.9678,-728.124 241.068,-724.716 257.028,-734.262 256.9272,-737.718 240.9678))",POINT(0.817094594576864 71.1954144678992),"POLYGON((0.820882 71.91092,0.811275 71.681275,0.81334 70.472424,0.822828 70.714438,0.820882 71.91092))",POINT(129.37011 15),"POLYGON((128.87011 14.5,129.87011 14.5,129.87011 15.5,128.87011 15.5,128.87011 14.5))",UTC-HGS-TOPO,POINT(-53 15),"POLYGON((-53.5 14.5,-52.5 14.5,-52.5 15.5,-53.5 15.5,-53.5 14.5))",2015-06-03 21:48:00,True,,12360,-52.5,15.5,-53.5,14.5,249.0072,-731.262,15,-53,772.4951121501286,1
384,2015-06-04 09:36:00,2015-06-04 09:56:00,C8.1,POINT(-860.88 293.9484),"POLYGON((-865.53 286.0344,-860.988 286.1388,-856.11 301.8402,-860.628 301.7352,-865.53 286.0344))",POINT(0.96227567211928 71.1474745058633),"POLYGON((0.964272 71.712668,0.959746 71.616406,0.960245 70.578789,0.964717 70.679392,0.964272 71.712668))",POINT(102.24747 18),"POLYGON((101.74747 17.5,102.74747 17.5,102.74747 18.5,101.74747 18.5,101.74747 17.5))",UTC-HGS-TOPO,POINT(-73 18),"POLYGON((-73.5 17.5,-72.5 17.5,-72.5 18.5,-73.5 18.5,-73.5 17.5))",2015-06-04 09:47:00,True,,12361,-72.5,18.5,-73.5,17.5,293.9484,-860.88,18,-73,909.6812827922536,1
385,2015-06-04 14:43:00,2015-06-04 15:37:00,C2.7,POINT(-828.984 294.3978),"POLYGON((-834.324 286.4874,-828.228 286.581,-823.536 302.286,-829.602 302.1918,-834.324 286.4874))",POINT(0.930596807430233 70.4484794216661),"POLYGON((0.933171 71.048724,0.927106 70.913508,0.92801 69.843902,0.934003 69.985282,0.933171 71.048724))",POINT(105.42597 18),"POLYGON((104.92597 17.5,105.92597 17.5,105.92597 18.5,104.92597 18.5,104.92597 17.5))",UTC-HGS-TOPO,POINT(-67 18),"POLYGON((-67.5 17.5,-66.5 17.5,-66.5 18.5,-67.5 18.5,-67.5 17.5))",2015-06-04 15:19:00,True,,12361,-66.5,18.5,-67.5,17.5,294.3978,-828.984,18,-67,879.70707448607,1
386,2015-06-05 05:30:00,2015-06-05 05:41:00,C1.6,POINT(-815.148 246.7032),"POLYGON((-820.596 238.68,-813.39 238.7502,-809.586 254.7084,-816.762 254.637,-820.596 238.68))",POINT(0.901008334794717 73.161646909956),"POLYGON((0.904119 73.782306,0.896822 73.641724,0.897883 72.53561,0.905105 72.684401,0.904119 73.782306))",POINT(101.27386 15),"POLYGON((100.77386 14.5,101.77386 14.5,101.77386 15.5,100.77386 15.5,100.77386 14.5))",UTC-HGS-TOPO,POINT(-63 15),"POLYGON((-63.5 14.5,-62.5 14.5,-62.5 15.5,-63.5 15.5,-63.5 14.5))",2015-06-05 05:36:00,True,,12361,-62.5,15.5,-63.5,14.5,246.7032,-815.148,15,-63,851.6623337885972,1
387,2015-06-05 07:00:00,2015-06-05 07:39:00,C1.6,POINT(-814.902 214.6536),"POLYGON((-820.242 206.5626,-812.724 206.6286,-809.448 222.729,-816.936 222.6618,-820.242 206.5626))",POINT(0.891533391308162 75.2429115940011),"POLYGON((0.894869 75.865046,0.887175 75.735232,0.888183 74.615142,0.895805 74.753951,0.894869 75.865046))",POINT(101.44669 13),"POLYGON((100.94669 12.5,101.94669 12.5,101.94669 13.5,100.94669 13.5,100.94669 12.5))",UTC-HGS-TOPO,POINT(-62 13),"POLYGON((-62.5 12.5,-61.5 12.5,-61.5 13.5,-62.5 13.5,-62.5 12.5))",2015-06-05 07:17:00,True,,12361,-61.5,13.5,-62.5,12.5,214.6536,-814.902,13,-62,842.6989009112093,1
388,2015-06-05 09:25:00,2015-06-05 09:48:00,C2.1,POINT(-759.894 278.706),"POLYGON((-766.164 270.7632,-757.578 270.8262,-753.534 286.6278,-762.072 286.5642,-766.164 270.7632))",POINT(0.856308792454194 69.8584992609196),"POLYGON((0.859703 70.536536,0.851166 70.328562,0.852938 69.174283,0.861363 69.392084,0.859703 70.536536))",POINT(105.11403 17),"POLYGON((104.61403 16.5,105.61403 16.5,105.61403 17.5,104.61403 17.5,104.61403 16.5))",UTC-HGS-TOPO,POINT(-57 17),"POLYGON((-57.5 16.5,-56.5 16.5,-56.5 17.5,-57.5 17.5,-57.5 16.5))",2015-06-05 09:38:00,True,,12361,-56.5,17.5,-57.5,16.5,278.706,-759.894,17,-57,809.3923187626627,1
389,2015-06-05 17:24:00,2015-06-05 17:45:00,C3.5,POINT(-749.754 246.6828),"POLYGON((-756.024 238.6656,-746.892 238.7166,-743.394 254.682,-752.49 254.6298,-756.024 238.6656))",POINT(0.835083234729245 71.7878474163321),"POLYGON((0.838795 72.479864,0.829603 72.27543,0.831398 71.08887,0.840491 71.305056,0.838795 72.479864))",POINT(102.71165 15),"POLYGON((102.21165 14.5,103.21165 14.5,103.21165 15.5,102.21165 15.5,102.21165 14.5))",UTC-HGS-TOPO,POINT(-55 15),"POLYGON((-55.5 14.5,-54.5 14.5,-54.5 15.5,-55.5 15.5,-55.5 14.5))",2015-06-05 17:34:00,True,,12361,-54.5,15.5,-55.5,14.5,246.6828,-749.754,15,-55,789.2930155093482,1
390,2015-06-07 10:23:00,2015-06-07 10:58:00,C1.6,POINT(-565.1994 131.3388),"POLYGON((-572.3916 123.1392,-559.3122 123.1368,-557.937 139.5288,-570.984 139.5306,-572.3916 123.1392))",POINT(0.614064976849052 76.9180053848647),"POLYGON((0.619598 77.858944,0.606073 77.583972,0.608626 75.959451,0.62203 76.267829,0.619598 77.858944))",POINT(98.11107 8),"POLYGON((97.61107 7.5,98.61107 7.5,98.61107 8.5,97.61107 8.5,97.61107 7.5))",UTC-HGS-TOPO,POINT(-37 8),"POLYGON((-37.5 7.5,-36.5 7.5,-36.5 8.5,-37.5 8.5,-37.5 7.5))",2015-06-07 10:36:00,True,,12362,-36.5,8.5,-37.5,7.5,131.3388,-565.1994,8,-37,580.2587717094848,1
391,2015-06-07 11:45:00,2015-06-07 11:53:00,C1.3,POINT(-15.92286 260.7126),"POLYGON((-23.94186 252.7416,-7.98144 252.7416,-7.94142 268.6638,-23.8218 268.6638,-23.94186 252.7416))",POINT(0.276418050346289 3.49496293898496),"POLYGON((0.268666 5.411402,0.267602 1.808768,0.284443 1.69311,0.285434 5.067034,0.268666 5.411402))",POINT(133.3574 16),"POLYGON((132.8574 15.5,133.8574 15.5,133.8574 16.5,132.8574 16.5,132.8574 15.5))",UTC-HGS-TOPO,POINT(-1 16),"POLYGON((-1.5 15.5,-0.5 15.5,-0.5 16.5,-1.5 16.5,-1.5 15.5))",2015-06-07 11:49:00,True,,12360,-0.5,16.5,-1.5,15.5,260.7126,-15.92286,16,-1,261.1983868046271,1
