,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
636,636,2012-09-09 21:50:00,2012-09-09 22:56:00,M1.2,POINT(726.738 -316.7658),"POLYGON((720.054 -325.371,729.894 -323.7552,733.332 -308.127,723.444 -309.7494,720.054 -325.371))",POINT(0.832469250250789 246.448891151026),"POLYGON((0.82972 245.683204,0.838457 246.079617,0.835266 247.209123,0.826372 246.821353,0.82972 245.683204))",POINT(70.207888 -15),"POLYGON((69.707888 -15.5,70.707888 -15.5,70.707888 -14.5,69.707888 -14.5,69.707888 -15.5))",UTC-HGS-TOPO,POINT(52 -15),"POLYGON((51.5 -15.5,52.5 -15.5,52.5 -14.5,51.5 -14.5,51.5 -15.5))",2012-09-09 22:36:00,True,,11564,52.5,-14.5,51.5,-15.5,-316.7658,726.738,-15,52,792.7727875587304,1
695,695,2012-10-21 19:46:00,2012-10-21 20:20:00,M1.3,POINT(-921.69 -188.0304),"POLYGON((-922.164 -195.4926,-918.228 -196.9932,-921.072 -180.5544,-925.014 -179.0502,-922.164 -195.4926))",POINT(0.976246104597704 101.530466984606),"POLYGON((0.978305 101.96912,0.974635 102.108481,0.974095 101.09085,0.977813 100.954972,0.978305 101.96912))",POINT(109.1108 -10),"POLYGON((108.6108 -10.5,109.6108 -10.5,109.6108 -9.5,108.6108 -9.5,108.6108 -10.5))",UTC-HGS-TOPO,POINT(-76 -10),"POLYGON((-76.5 -10.5,-75.5 -10.5,-75.5 -9.5,-76.5 -9.5,-76.5 -10.5))",2012-10-21 20:03:00,True,,11598,-75.5,-9.5,-76.5,-10.5,-188.0304,-921.69,-10,-76,940.674166448808,1
696,696,2012-10-22 18:38:00,2012-10-22 19:01:00,M5.0,POINT(-826.308 -241.6866),"POLYGON((-828.666 -249.1428,-820.746 -250.4712,-823.812 -234.2106,-831.762 -232.8786,-828.666 -249.1428))",POINT(0.893242648636323 106.30365570679),"POLYGON((0.897788 106.733682,0.890323 106.970881,0.888605 105.870506,0.896168 105.641304,0.897788 106.733682))",POINT(111.54483 -12),"POLYGON((111.04483 -12.5,112.04483 -12.5,112.04483 -11.5,111.04483 -11.5,111.04483 -12.5))",UTC-HGS-TOPO,POINT(-61 -12),"POLYGON((-61.5 -12.5,-60.5 -12.5,-60.5 -11.5,-61.5 -11.5,-61.5 -12.5))",2012-10-22 18:51:00,True,,11598,-60.5,-11.5,-61.5,-12.5,-241.6866,-826.308,-12,-61,860.9281755660921,1
705,705,2012-11-13 20:50:00,2012-11-13 20:57:00,M2.8,POINT(-491.1966 -402.8112),"POLYGON((-495.9864 -410.2824,-482.853 -410.739,-486.2844 -395.307,-499.5114 -394.848,-495.9864 -410.2824))",POINT(0.655402972481964 129.353844144346),"POLYGON((0.664118 129.597721,0.654039 130.386157,0.646581 129.108116,0.656932 128.325258,0.664118 129.597721))",POINT(-151.75141 -22),"POLYGON((-152.25141 -22.5,-151.25141 -22.5,-151.25141 -21.5,-152.25141 -21.5,-152.25141 -22.5))",UTC-HGS-TOPO,POINT(-33 -22),"POLYGON((-33.5 -22.5,-32.5 -22.5,-32.5 -21.5,-33.5 -21.5,-33.5 -22.5))",2012-11-13 20:54:00,True,,11613,-32.5,-21.5,-33.5,-22.5,-402.8112,-491.1966,-22,-33,635.2408698257693,1
716,716,2012-11-20 19:21:00,2012-11-20 19:32:00,M1.6,POINT(-250.5018 84.1452),"POLYGON((-258.9162 75.7464,-242.5878 75.5862,-242.067 92.541,-258.36 92.7006,-258.9162 75.7464))",POINT(0.272230270945834 71.4324618142018),"POLYGON((0.277909 73.693068,0.261758 72.693861,0.266973 69.078395,0.28277 70.261811,0.277909 73.693068))",POINT(134.78788 7),"POLYGON((134.28788 6.5,135.28788 6.5,135.28788 7.5,134.28788 7.5,134.28788 6.5))",UTC-HGS-TOPO,POINT(-15 7),"POLYGON((-15.5 6.5,-14.5 6.5,-14.5 7.5,-15.5 7.5,-15.5 6.5))",2012-11-20 19:28:00,True,,11618,-14.5,7.5,-15.5,6.5,84.1452,-250.5018,7,-15,264.25662997601404,1
717,717,2012-11-21 06:45:00,2012-11-21 07:08:00,M1.4,POINT(-168.4356 67.4832),"POLYGON((-176.9196 59.04402,-160.2354 58.9389,-159.9408 75.9198,-176.5944 76.0248,-176.9196 59.04402))",POINT(0.186907754296389 68.1666456573462),"POLYGON((0.192121 71.544412,0.175866 69.805117,0.182369 64.607506,0.198045 66.707873,0.192121 71.544412))",POINT(133.52677 6),"POLYGON((133.02677 5.5,134.02677 5.5,134.02677 6.5,133.02677 6.5,133.02677 5.5))",UTC-HGS-TOPO,POINT(-10 6),"POLYGON((-10.5 5.5,-9.5 5.5,-9.5 6.5,-10.5 6.5,-10.5 5.5))",2012-11-21 06:56:00,True,,11618,-9.5,6.5,-10.5,5.5,67.4832,-168.4356,6,-10,181.45118800823545,1
729,729,2012-11-27 15:52:00,2012-11-27 16:03:00,M1.6,POINT(927.282 78.5202),"POLYGON((925.476 69.876,930.354 70.23,928.938 87.1578,924.066 86.8056,925.476 69.876))",POINT(0.957401304449911 274.840134158917),"POLYGON((0.954839 274.317798,0.959871 274.316922,0.959888 275.360097,0.954864 275.366545,0.954839 274.317798))",POINT(132.437489 5),"POLYGON((131.937489 4.5,132.937489 4.5,132.937489 5.5,131.937489 5.5,131.937489 4.5))",UTC-HGS-TOPO,POINT(73 5),"POLYGON((72.5 4.5,73.5 4.5,73.5 5.5,72.5 5.5,72.5 4.5))",2012-11-27 15:57:00,True,,11618,73.5,5.5,72.5,4.5,78.5202,927.282,5,73,930.6005208101056,1
731,731,2012-11-27 21:05:00,2012-11-27 21:30:00,M1.0,POINT(620.904 -251.4264),"POLYGON((613.296 -259.761,625.704 -259.5126,628.446 -243.0702,615.984 -243.3192,613.296 -259.761))",POINT(0.689143947025358 247.95520140674),"POLYGON((0.685194 247.044955,0.696868 247.473625,0.693194 248.854538,0.681347 248.445536,0.685194 247.044955))",POINT(97.572759 -14),"POLYGON((97.072759 -14.5,98.072759 -14.5,98.072759 -13.5,97.072759 -13.5,97.072759 -14.5))",UTC-HGS-TOPO,POINT(41 -14),"POLYGON((40.5 -14.5,41.5 -14.5,41.5 -13.5,40.5 -13.5,40.5 -14.5))",2012-11-27 21:26:00,True,,11620,41.5,-13.5,40.5,-14.5,-251.4264,620.904,-14,41,669.8783559967884,1
734,734,2012-11-28 21:20:00,2012-11-28 21:48:00,M2.2,POINT(793.11 -245.7804),"POLYGON((786.858 -254.1414,795.774 -253.8552,799.254 -237.4002,790.302 -237.6864,786.858 -254.1414))",POINT(0.854049960224274 252.782080484488),"POLYGON((0.850513 252.100449,0.859155 252.307102,0.857594 253.457147,0.848856 253.261136,0.850513 252.100449))",POINT(100.256047 -14),"POLYGON((99.756047 -14.5,100.756047 -14.5,100.756047 -13.5,99.756047 -13.5,99.756047 -14.5))",UTC-HGS-TOPO,POINT(57 -14),"POLYGON((56.5 -14.5,57.5 -14.5,57.5 -13.5,56.5 -13.5,56.5 -14.5))",2012-11-28 21:36:00,True,,11620,57.5,-13.5,56.5,-14.5,-245.7804,793.11,-14,57,830.3201052149466,1
48,48,2013-02-17 15:45:00,2013-02-17 15:52:00,M1.9,POINT(-357.0222 307.8528),"POLYGON((-365.3814 299.4012,-349.9416 300.1644,-348.6372 316.2714,-364.0194 315.5106,-365.3814 299.4012))",POINT(0.485834448477918 49.2294869140263),"POLYGON((0.486824 50.668089,0.475135 49.37847,0.48511 47.786791,0.496451 49.083179,0.486824 50.668089))",POINT(37.508258 12),"POLYGON((37.008258 11.5,38.008258 11.5,38.008258 12.5,37.008258 12.5,37.008258 11.5))",UTC-HGS-TOPO,POINT(-22 12),"POLYGON((-22.5 11.5,-21.5 11.5,-21.5 12.5,-22.5 12.5,-22.5 11.5))",2013-02-17 15:50:00,True,,11675,-21.5,12.5,-22.5,11.5,307.8528,-357.0222,12,-22,471.42146510387073,1
