,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
1,2018-02-04 20:18:00,2018-02-04 20:30:00,C1.1,POINT(-967.9578 -78.75312),"POLYGON((17.053384 123.68022,17.053384 123.68022,17.053384 123.68022,17.053384 123.68022,17.053384 123.68022))",POINT(0.998405528038622 94.6513438879884),"POLYGON((0.128354 352.149395,0.128354 352.149395,0.128354 352.149395,0.128354 352.149395,0.128354 352.149395))",POINT(160.19044 -5),"POLYGON((-111.80956 1,-111.80956 1,-111.80956 1,-111.80956 1,-111.80956 1))",UTC-HGS-TOPO,POINT(-87 -5),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-02-04 20:24:00,true,,2699,-86.0,-4.0,-88.0,-6.0,-78.75312,-967.9578,-5,-87,971.156195722693269,0
3,2018-02-07 13:31:00,2018-02-07 13:54:00,C8.1,POINT(-686.02536 -24.3900414),"POLYGON((17.04547 126.458436,17.04547 126.458436,17.04547 126.458436,17.04547 126.458436,17.04547 126.458436))",POINT(0.706044788937501 92.0361610143805),"POLYGON((0.131243 352.323308,0.131243 352.323308,0.131243 352.323308,0.131243 352.323308,0.131243 352.323308))",POINT(166.41219 -6),"POLYGON((-147.58781 1,-147.58781 1,-147.58781 1,-147.58781 1,-147.58781 1))",UTC-HGS-TOPO,POINT(-45 -6),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-02-07 13:47:00,true,,2699,-44.0,-5.0,-46.0,-7.0,-24.3900414,-686.02536,-6,-45,686.458788772220032,0
5,2018-02-07 14:35:00,2018-02-07 14:44:00,C1.7,POINT(-673.98144 -23.0279136),"POLYGON((17.045335 126.50172,17.045335 126.50172,17.045335 126.50172,17.045335 126.50172,17.045335 126.50172))",POINT(0.693621355561355 91.9568627939185),"POLYGON((0.131288 352.325963,0.131288 352.325963,0.131288 352.325963,0.131288 352.325963,0.131288 352.325963))",POINT(166.82701 -6),"POLYGON((-148.17299 1,-148.17299 1,-148.17299 1,-148.17299 1,-148.17299 1))",UTC-HGS-TOPO,POINT(-44 -6),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-02-07 14:39:00,true,,2699,-43.0,-5.0,-45.0,-7.0,-23.0279136,-673.98144,-6,-44,674.374722442384154,0
6,2018-02-10 13:02:00,2018-02-10 13:36:00,C4.6,POINT(-117.823764 -24.5811168),"POLYGON((17.036177 129.20502,17.036177 129.20502,17.036177 129.20502,17.036177 129.20502,17.036177 129.20502))",POINT(0.123861691555547 101.784366584365),"POLYGON((0.134114 352.488661,0.134114 352.488661,0.134114 352.488661,0.134114 352.488661,0.134114 352.488661))",POINT(165.1768 -8),"POLYGON((173.1768 1,173.1768 1,173.1768 1,173.1768 1,173.1768 1))",UTC-HGS-TOPO,POINT(-7 -8),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-02-10 13:21:00,true,,2699,-6.0,-7.0,-8.0,-9.0,-24.5811168,-117.823764,-8,-7,120.360586016614846,0
8,2018-02-11 23:55:00,2018-02-12 05:30:00,C1.5,POINT(233.192592 -42.8275044),"POLYGON((17.031458 130.429098,17.031458 130.429098,17.031458 130.429098,17.031458 130.429098,17.031458 130.429098))",POINT(0.244056526923662 259.593189035554),"POLYGON((0.1354 352.5604,0.1354 352.5604,0.1354 352.5604,0.1354 352.5604,0.1354 352.5604))",POINT(167.03869 -9),"POLYGON((154.03869 1,154.03869 1,154.03869 1,154.03869 1,154.03869 1))",UTC-HGS-TOPO,POINT(14 -9),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-02-12 01:35:00,true,,2699,15.0,-8.0,13.0,-10.0,-42.8275044,233.192592,-9,14,237.092766858903758,0
9,2018-02-12 00:15:00,2018-02-12 03:21:00,C1.5,POINT(233.191968 -42.8159592),"POLYGON((17.031412 130.440426,17.031412 130.440426,17.031412 130.440426,17.031412 130.440426,17.031412 130.440426))",POINT(0.244054396857865 259.595905941871),"POLYGON((0.135412 352.561058,0.135412 352.561058,0.135412 352.561058,0.135412 352.561058,0.135412 352.561058))",POINT(166.85581 -9),"POLYGON((153.85581 1,153.85581 1,153.85581 1,153.85581 1,153.85581 1))",UTC-HGS-TOPO,POINT(14 -9),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-02-12 01:35:00,true,,2699,15.0,-8.0,13.0,-10.0,-42.8159592,233.191968,-9,14,237.090067910760638,0
12,2018-03-02 10:56:00,2018-03-02 11:13:00,C1.9,POINT(844.91922 142.79232),"POLYGON((16.963255 139.144476,16.963255 139.144476,16.963255 139.144476,16.963255 139.144476,16.963255 139.144476))",POINT(0.885593033533274 279.592413761212),"POLYGON((0.144868 353.049308,0.144868 353.049308,0.144868 353.049308,0.144868 353.049308,0.144868 353.049308))",POINT(-29.0624 5),"POLYGON((-89.0624 1,-89.0624 1,-89.0624 1,-89.0624 1,-89.0624 1))",UTC-HGS-TOPO,POINT(61 5),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-03-02 11:07:00,true,,2700,62.0,6.0,60.0,4.0,142.79232,844.91922,5,61,856.900306322964752,0
14,2018-03-30 07:57:00,2018-03-30 08:08:00,C4.6,POINT(-895.58082 -130.219092),"POLYGON((16.834429 128.297118,16.834429 128.297118,16.834429 128.297118,16.834429 128.297118,16.834429 128.297118))",POINT(0.942431966438937 98.2729351264234),"POLYGON((0.134749 352.524675,0.134749 352.524675,0.134749 352.524675,0.134749 352.524675,0.134749 352.524675))",POINT(-168.49905 -10),"POLYGON((-96.49905 1,-96.49905 1,-96.49905 1,-96.49905 1,-96.49905 1))",UTC-HGS-TOPO,POINT(-71 -10),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-03-30 08:01:00,true,,0,-70.0,-9.0,-72.0,-11.0,-130.219092,-895.58082,-10,-71,904.998351972630303,0
15,2018-05-23 18:03:00,2018-05-23 18:33:00,C2.0,POINT(-918.86742 229.50783),"POLYGON((16.602886 44.53405,16.602886 44.53405,16.602886 44.53405,16.602886 44.53405,16.602886 44.53405))",POINT(0.999997669566152 75.9760242084932),"POLYGON((0.050183 339.553876,0.050183 339.553876,0.050183 339.553876,0.050183 339.553876,0.050183 339.553876))",POINT(174.49807 14),"POLYGON((-95.50193 1,-95.50193 1,-95.50193 1,-95.50193 1,-95.50193 1))",UTC-HGS-TOPO,POINT(-89 14),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-05-23 18:21:00,true,,0,-88.0,15.0,-90.0,13.0,229.50783,-918.86742,14,-89,947.096182849854699,0
17,2018-05-28 17:04:00,2018-05-28 17:12:00,C2.7,POINT(-374.978304 245.888844),"POLYGON((16.588747 34.722215,16.588747 34.722215,16.588747 34.722215,16.588747 34.722215,16.588747 34.722215))",POINT(0.473857481471783 56.7454804624514),"POLYGON((0.040665 334.463581,0.040665 334.463581,0.040665 334.463581,0.040665 334.463581,0.040665 334.463581))",POINT(173.88442 14),"POLYGON((-161.11558 1,-161.11558 1,-161.11558 1,-161.11558 1,-161.11558 1))",UTC-HGS-TOPO,POINT(-24 14),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-05-28 17:10:00,true,,2712,-23.0,15.0,-25.0,13.0,245.888844,-374.978304,14,-24,448.408354153190146,0
