,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
1,2012-01-01 07:24:00,2012-01-01 07:44:00,C3.2,POINT(-496.0632 -374.853),"POLYGON((17.09832 68.0262,17.09832 68.0262,17.09832 68.0262,17.09832 68.0262,17.09832 68.0262))",POINT(0.637556982554576 127.076726944111),"POLYGON((0.071923 345.891032,0.071923 345.891032,0.071923 345.891032,0.071923 345.891032,0.071923 345.891032))",POINT(79.69593 -25),"POLYGON((114.69593 1,114.69593 1,114.69593 1,114.69593 1,114.69593 1))",UTC-HGS-TOPO,POINT(-34 -25),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-01 07:34:00,true,,1389,-33.0,-24.0,-35.0,-26.0,-374.853,-496.0632,-25,-34,621.766411124981914,0
3,2012-01-01 23:28:00,2012-01-01 23:46:00,C1.3,POINT(-957.216 186.7194),"POLYGON((17.09856 69.363,17.09856 69.363,17.09856 69.363,17.09856 69.363,17.09856 69.363))",POINT(1.00001198611573 78.962199725862),"POLYGON((0.073253 346.152198,0.073253 346.152198,0.073253 346.152198,0.073253 346.152198,0.073253 346.152198))",POINT(15.87899 11),"POLYGON((105.87899 1,105.87899 1,105.87899 1,105.87899 1,105.87899 1))",UTC-HGS-TOPO,POINT(-89 11),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-01 23:31:00,true,,1389,-88.0,12.0,-90.0,10.0,186.7194,-957.216,11,-89,975.25719940555166,0
4,2012-01-02 05:23:00,2012-01-02 05:34:00,C1.6,POINT(-957.216 186.7236),"POLYGON((17.09862 69.8538,17.09862 69.8538,17.09862 69.8538,17.09862 69.8538,17.09862 69.8538))",POINT(1.00000856553177 78.9619575431245),"POLYGON((0.073741 346.245741,0.073741 346.245741,0.073741 346.245741,0.073741 346.245741,0.073741 346.245741))",POINT(12.63212 11),"POLYGON((102.63212 1,102.63212 1,102.63212 1,102.63212 1,102.63212 1))",UTC-HGS-TOPO,POINT(-89 11),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-02 05:28:00,true,,1389,-88.0,12.0,-90.0,10.0,186.7236,-957.216,11,-89,975.25800353186537,0
7,2012-01-02 07:05:00,2012-01-02 07:32:00,C1.5,POINT(-326.8308 -400.194),"POLYGON((17.09862 69.9948,17.09862 69.9948,17.09862 69.9948,17.09862 69.9948,17.09862 69.9948))",POINT(0.529807205187667 140.762143330169),"POLYGON((0.073882 346.272399,0.073882 346.272399,0.073882 346.272399,0.073882 346.272399,0.073882 346.272399))",POINT(78.69922 -27),"POLYGON((101.69922 1,101.69922 1,101.69922 1,101.69922 1,101.69922 1))",UTC-HGS-TOPO,POINT(-22 -27),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-02 07:24:00,true,,1389,-21.0,-26.0,-23.0,-28.0,-400.194,-326.8308,-27,-22,516.694890108892082,0
9,2012-01-02 14:31:00,2012-01-02 16:04:00,C2.4,POINT(967.88736 119.60616),"POLYGON((17.098713 70.60899,17.098713 70.60899,17.098713 70.60899,17.098713 70.60899,17.098713 70.60899))",POINT(0.999993943945644 277.044581564786),"POLYGON((0.074493 346.387275,0.074493 346.387275,0.074493 346.387275,0.074493 346.387275,0.074493 346.387275))",POINT(-174.379925 7),"POLYGON((97.620075 1,97.620075 1,97.620075 1,97.620075 1,97.620075 1))",UTC-HGS-TOPO,POINT(89 7),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-02 15:24:00,true,,1384,90.0,8.0,88.0,6.0,119.60616,967.88736,7,89,975.249493800286587,0
11,2012-01-04 08:57:00,2012-01-04 09:05:00,C1.5,POINT(-318.5556 353.052),"POLYGON((17.09898 74.0838,17.09898 74.0838,17.09898 74.0838,17.09898 74.0838,17.09898 74.0838))",POINT(0.487581400162112 42.059648062855),"POLYGON((0.077959 347.003387,0.077959 347.003387,0.077959 347.003387,0.077959 347.003387,0.077959 347.003387))",POINT(53.334642 18),"POLYGON((74.334642 1,74.334642 1,74.334642 1,74.334642 1,74.334642 1))",UTC-HGS-TOPO,POINT(-20 18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-04 09:02:00,true,,1392,-19.0,19.0,-21.0,17.0,353.052,-318.5556,18,-20,475.524326397041477,0
13,2012-01-04 10:59:00,2012-01-04 11:14:00,C1.3,POINT(209.5872 -249.225),"POLYGON((17.09898 74.2488,17.09898 74.2488,17.09898 74.2488,17.09898 74.2488,17.09898 74.2488))",POINT(0.333894210498942 220.06235085738),"POLYGON((0.078124 347.031291,0.078124 347.031291,0.078124 347.031291,0.078124 347.031291,0.078124 347.031291))",POINT(85.218862 -18),"POLYGON((73.218862 1,73.218862 1,73.218862 1,73.218862 1,73.218862 1))",UTC-HGS-TOPO,POINT(13 -18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-04 11:00:00,true,,1389,14.0,-17.0,12.0,-19.0,-249.225,209.5872,-18,13,325.637674461724373,0
15,2012-01-05 07:01:00,2012-01-05 07:43:00,C1.9,POINT(921.93 136.7904),"POLYGON((17.09898 75.8682,17.09898 75.8682,17.09898 75.8682,17.09898 75.8682,17.09898 75.8682))",POINT(0.955653278498399 278.439628507857),"POLYGON((0.079743 347.299035,0.079743 347.299035,0.079743 347.299035,0.079743 347.299035,0.079743 347.299035))",POINT(133.225774 7),"POLYGON((62.225774 1,62.225774 1,62.225774 1,62.225774 1,62.225774 1))",UTC-HGS-TOPO,POINT(72 7),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-05 07:22:00,true,,1390,73.0,8.0,71.0,6.0,136.7904,921.93,7,72,932.022820767903795,0
17,2012-01-05 11:51:00,2012-01-05 13:15:00,C2.2,POINT(240.4644 494.361),"POLYGON((17.09898 76.2564,17.09898 76.2564,17.09898 76.2564,17.09898 76.2564,17.09898 76.2564))",POINT(0.563680037639927 334.061035913956),"POLYGON((0.080131 347.36161,0.080131 347.36161,0.080131 347.36161,0.080131 347.36161,0.080131 347.36161))",POINT(74.573556 27),"POLYGON((59.573556 1,59.573556 1,59.573556 1,59.573556 1,59.573556 1))",UTC-HGS-TOPO,POINT(16 27),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-05 12:38:00,true,,1392,17.0,28.0,15.0,26.0,494.361,240.4644,27,16,549.741690240389175,0
18,2012-01-06 06:04:00,2012-01-06 06:11:00,C1.4,POINT(614.022 -241.8636),"POLYGON((17.09892 77.7144,17.09892 77.7144,17.09892 77.7144,17.09892 77.7144,17.09892 77.7144))",POINT(0.676675101966295 248.500492592198),"POLYGON((0.081591 347.591349,0.081591 347.591349,0.081591 347.591349,0.081591 347.591349,0.081591 347.591349))",POINT(89.577519 -17),"POLYGON((49.577519 1,49.577519 1,49.577519 1,49.577519 1,49.577519 1))",UTC-HGS-TOPO,POINT(41 -17),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-06 06:08:00,true,,1389,42.0,-16.0,40.0,-18.0,-241.8636,614.022,-17,41,659.940162051802986,0
