Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
623,2010-12-01 00:12:00,2010-12-01 00:19:00,B2.7,POINT(433.6092 189.4614),"POLYGON((17.04882 1.523112,17.04882 1.523112,17.04882 1.523112,17.04882 1.523112,17.04882 1.523112))",POINT(0.486618829238052 293.602463062367),"POLYGON((0.017602 275.105152,0.017602 275.105152,0.017602 275.105152,0.017602 275.105152,0.017602 275.105152))",POINT(-29.37172 12),"POLYGON((-55.37172 1,-55.37172 1,-55.37172 1,-55.37172 1,-55.37172 1))",UTC-HGS-TOPO,POINT(27 12),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-12-01 00:16:00,True,,1130,28.0,13.0,26.0,11.0,189.4614,433.6092,12.0,27.0,473.1939987094088,0.0
624,2010-12-01 00:12:00,2010-12-01 00:19:00,B2.7,POINT(402.109338 205.929402),"POLYGON((17.048834 1.523166,17.048834 1.523166,17.048834 1.523166,17.048834 1.523166,17.048834 1.523166))",POINT(0.464590096520264 297.118025461207),"POLYGON((0.017602 275.105327,0.017602 275.105327,0.017602 275.105327,0.017602 275.105327,0.017602 275.105327))",POINT(-31.37172 13),"POLYGON((-55.37172 1,-55.37172 1,-55.37172 1,-55.37172 1,-55.37172 1))",UTC-HGS-TOPO,POINT(25 13),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-12-01 00:16:00,True,,1130,26.0,14.0,24.0,12.0,205.929402,402.109338,13.0,25.0,451.77299422926535,0.0
625,2010-12-01 00:37:00,2010-12-01 00:43:00,B2.3,POINT(417.084408 206.069478),"POLYGON((17.048882 1.560734,17.048882 1.560734,17.048882 1.560734,17.048882 1.560734,17.048882 1.560734))",POINT(0.478411078034468 296.292660327534),"POLYGON((0.017606 275.230543,0.017606 275.230543,0.017606 275.230543,0.017606 275.230543,0.017606 275.230543))",POINT(-30.60052 13),"POLYGON((-55.60052 1,-55.60052 1,-55.60052 1,-55.60052 1,-55.60052 1))",UTC-HGS-TOPO,POINT(26 13),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-12-01 00:40:00,True,,1130,27.0,14.0,25.0,12.0,206.069478,417.084408,13.0,26.0,465.21396492356394,0.0
626,2010-12-01 02:41:00,2010-12-01 02:44:00,B2.4,POINT(417.09 206.2362),"POLYGON((17.04912 1.747044,17.04912 1.747044,17.04912 1.747044,17.04912 1.747044,17.04912 1.747044))",POINT(0.478485668605184 296.310761351184),"POLYGON((0.017624 275.850747,0.017624 275.850747,0.017624 275.850747,0.017624 275.850747,0.017624 275.850747))",POINT(-31.73536 13),"POLYGON((-56.73536 1,-56.73536 1,-56.73536 1,-56.73536 1,-56.73536 1))",UTC-HGS-TOPO,POINT(26 13),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-12-01 02:44:00,True,,1130,27.0,14.0,25.0,12.0,206.2362,417.09,13.0,26.0,465.2928521806885,0.0
627,2010-12-01 15:51:00,2010-12-01 15:57:00,B2.8,POINT(518.0994 208.0668),"POLYGON((17.05062 2.935446,17.05062 2.935446,17.05062 2.935446,17.05062 2.935446,17.05062 2.935446))",POINT(0.574098619737457 291.880211770227),"POLYGON((0.01779 279.768322,0.01779 279.768322,0.01779 279.768322,0.01779 279.768322,0.01779 279.768322))",POINT(-31.96538 13),"POLYGON((-63.96538 1,-63.96538 1,-63.96538 1,-63.96538 1,-63.96538 1))",UTC-HGS-TOPO,POINT(33 13),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-12-01 15:57:00,True,,1130,34.0,14.0,32.0,12.0,208.0668,518.0994,13.0,33.0,558.3178141010728,0.0
628,2010-12-02 12:55:00,2010-12-02 13:03:00,B1.7,POINT(-785.01126 527.482416),"POLYGON((17.052928 4.84056,17.052928 4.84056,17.052928 4.84056,17.052928 4.84056,17.052928 4.84056))",POINT(0.97236944803356 56.1011695369312),"POLYGON((0.018225 285.846863,0.018225 285.846863,0.018225 285.846863,0.018225 285.846863,0.018225 285.846863))",POINT(-150.53325 33),"POLYGON((-75.53325 1,-75.53325 1,-75.53325 1,-75.53325 1,-75.53325 1))",UTC-HGS-TOPO,POINT(-74 33),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-12-02 12:58:00,True,,1131,-73.0,34.0,-75.0,32.0,527.482416,-785.01126,33.0,-74.0,945.7697275320163,0.0
629,2010-12-02 13:05:00,2010-12-02 13:10:00,B2.7,POINT(-830.454 454.323),"POLYGON((17.05296 4.85559,17.05296 4.85559,17.05296 4.85559,17.05296 4.85559,17.05296 4.85559))",POINT(0.973228371170311 61.3179069521294),"POLYGON((0.018229 285.893556,0.018229 285.893556,0.018229 285.893556,0.018229 285.893556,0.018229 285.893556))",POINT(-151.62477 28),"POLYGON((-75.62477 1,-75.62477 1,-75.62477 1,-75.62477 1,-75.62477 1))",UTC-HGS-TOPO,POINT(-75 28),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-12-02 13:08:00,True,,1131,-74.0,29.0,-76.0,27.0,454.323,-830.454,28.0,-75.0,946.6061664942816,0.0
630,2010-12-02 22:24:00,2010-12-02 22:30:00,B2.6,POINT(764.70312 179.411958),"POLYGON((17.053963 5.699477,17.053963 5.699477,17.053963 5.699477,17.053963 5.699477,17.053963 5.699477))",POINT(0.807510121017461 283.203725611836),"POLYGON((0.018486 288.479757,0.018486 288.479757,0.018486 288.479757,0.018486 288.479757,0.018486 288.479757))",POINT(-28.74056 11),"POLYGON((-80.74056 1,-80.74056 1,-80.74056 1,-80.74056 1,-80.74056 1))",UTC-HGS-TOPO,POINT(53 11),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-12-02 22:28:00,True,,1130,54.0,12.0,52.0,10.0,179.411958,764.70312,11.0,53.0,785.4677029713749,0.0
631,2010-12-03 06:51:00,2010-12-03 07:04:00,B5.3,POINT(805.47342 163.668282),"POLYGON((17.054879 6.465451,17.054879 6.465451,17.054879 6.465451,17.054879 6.465451,17.054879 6.465451))",POINT(0.844954133474693 281.485850626414),"POLYGON((0.01875 290.761561,0.01875 290.761561,0.01875 290.761561,0.01875 290.761561,0.01875 290.761561))",POINT(-29.38042 10),"POLYGON((-85.38042 1,-85.38042 1,-85.38042 1,-85.38042 1,-85.38042 1))",UTC-HGS-TOPO,POINT(57 10),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-12-03 06:58:00,True,,1130,58.0,11.0,56.0,9.0,163.668282,805.47342,10.0,57.0,821.9335355485429,0.0
632,2010-12-03 09:00:00,2010-12-03 09:05:00,B1.9,POINT(-707.95326 526.495668),"POLYGON((17.05511 6.660437,17.05511 6.660437,17.05511 6.660437,17.05511 6.660437,17.05511 6.660437))",POINT(0.906965390461966 53.3622963152918),"POLYGON((0.018822 291.33186,0.018822 291.33186,0.018822 291.33186,0.018822 291.33186,0.018822 291.33186))",POINT(-147.56098 33),"POLYGON((-86.56098 1,-86.56098 1,-86.56098 1,-86.56098 1,-86.56098 1))",UTC-HGS-TOPO,POINT(-60 33),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-12-03 09:03:00,True,,1131,-59.0,34.0,-61.0,32.0,526.495668,-707.95326,33.0,-60.0,882.2672535957535,0.0
