Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
207,2010-04-03 09:04:00,2010-04-03 09:17:00,B3.0,POINT(45.7293 -307.2954),"POLYGON((16.8267 124.5408,16.8267 124.5408,16.8267 124.5408,16.8267 124.5408,16.8267 124.5408))",POINT(0.32362427802718 188.464194851195),"POLYGON((0.130909 352.305366,0.130909 352.305366,0.130909 352.305366,0.130909 352.305366,0.130909 352.305366))",POINT(-101.02341 -25),,UTC-HGS-TOPO,POINT(3 -25),,2010-04-03 09:17:00,True,,1059,4.0,-24.0,2.0,-26.0,-307.2954,45.7293,-25.0,3.0,310.6793069060925,0.0
208,2010-04-05 11:19:00,2010-04-05 11:28:00,B1.3,POINT(913.482 192.5922),"POLYGON((16.81638 122.3718,16.81638 122.3718,16.81638 122.3718,16.81638 122.3718,16.81638 122.3718))",POINT(0.972462152836206 281.905485933111),"POLYGON((0.128669 352.1754,0.128669 352.1754,0.128669 352.1754,0.128669 352.1754,0.128669 352.1754))",POINT(-56.6502899999999 10),,UTC-HGS-TOPO,POINT(75.0000000000002 10),,2010-04-05 11:23:00,True,,1057,76.0,11.0,74.0,9.0,192.5922,913.482,10.0,75.0000000000002,933.5636667227576,0.0
209,2010-04-08 02:30:00,2010-04-08 03:50:00,B3.7,POINT(-231.9222 550.059),"POLYGON((16.80336 119.4576,16.80336 119.4576,16.80336 119.4576,16.80336 119.4576,16.80336 119.4576))",POINT(0.621825977211596 22.8618204330192),"POLYGON((0.12566 351.993091,0.12566 351.993091,0.12566 351.993091,0.12566 351.993091,0.12566 351.993091))",POINT(177.60722 29),,UTC-HGS-TOPO,POINT(-16.0000000000002 29),,2010-04-08 03:25:00,True,,1060,-15.0,30.0,-17.0,28.0,550.059,-231.9222,29.0,-16.0000000000002,596.9529381231321,0.0
210,2010-04-13 04:39:00,2010-04-13 04:49:00,B3.7,POINT(127.9608 -188.2098),"POLYGON((16.77864 113.2638,16.77864 113.2638,16.77864 113.2638,16.77864 113.2638,16.77864 113.2638))",POINT(0.237072200494418 214.211150498798),"POLYGON((0.119271 351.573616,0.119271 351.573616,0.119271 351.573616,0.119271 351.573616,0.119271 351.573616))",POINT(134.42491 -17),,UTC-HGS-TOPO,POINT(7.99999999999998 -17),,2010-04-13 04:43:00,True,,1062,9.0,-16.0,7.0,-18.0,-188.2098,127.9608,-17.0,7.99999999999998,227.58931247464147,0.0
