Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
688,2014-10-01 02:40:00,2014-10-01 03:48:00,C6.7,POINT(843.564 -246.3036),"POLYGON((838.374 -255.2046,845.478 -253.4658,848.634 -237.378,841.5 -239.1222,838.374 -255.2046))",POINT(0.917577112039547 253.723265061409),"POLYGON((0.91504 253.069529,0.921615 253.311798,0.920106 254.37275,0.913431 254.136873,0.91504 253.069529))",POINT(-112.76549 -12),"POLYGON((-113.26549 -12.5,-112.26549 -12.5,-112.26549 -11.5,-113.26549 -11.5,-113.26549 -12.5))",UTC-HGS-TOPO,POINT(64 -12),"POLYGON((63.5 -12.5,64.5 -12.5,64.5 -11.5,63.5 -11.5,63.5 -12.5))",2014-10-01 03:06:00,True,,12172,64.5,-11.5,63.5,-12.5,-246.3036,843.564,-12,64,878.7864845734484,1
689,2014-10-02 17:10:00,2014-10-02 18:15:00,M1.5,POINT(885 -319.911),"POLYGON((880.53 -328.6326,884.304 -326.8254,889.35 -311.1588,885.552 -312.975,880.53 -328.6326))",POINT(0.982124677056302 250.126021535703),"POLYGON((0.980884 249.533352,0.98392 249.716449,0.983341 250.71648,0.980231 250.535388,0.980884 249.533352))",POINT(-121.93318 -18),"POLYGON((-122.43318 -18.5,-121.43318 -18.5,-121.43318 -17.5,-122.43318 -17.5,-122.43318 -18.5))",UTC-HGS-TOPO,POINT(76 -18),"POLYGON((75.5 -18.5,76.5 -18.5,76.5 -17.5,75.5 -17.5,75.5 -18.5))",2014-10-02 17:44:00,True,,12172,76.5,-17.5,75.5,-18.5,-319.911,885.0,-18,76,941.0462517437704,1
690,2014-10-02 18:49:00,2014-10-02 19:14:00,M7.3,POINT(907.824 -293.1588),"POLYGON((904.248 -301.9776,906.402 -300.1266,911.262 -284.3118,909.102 -286.1718,904.248 -301.9776))",POINT(0.995607730252251 252.103449854592),"POLYGON((0.994934 251.533031,0.996457 251.67933,0.996234 252.67219,0.994663 252.526773,0.994934 251.533031))",POINT(-116.84034 -17),"POLYGON((-117.34034 -17.5,-116.34034 -17.5,-116.34034 -16.5,-117.34034 -16.5,-117.34034 -17.5))",UTC-HGS-TOPO,POINT(82 -17),"POLYGON((81.5 -17.5,82.5 -17.5,82.5 -16.5,81.5 -16.5,81.5 -17.5))",2014-10-02 19:01:00,True,,12173,82.5,-16.5,81.5,-17.5,-293.1588,907.824,-17,82,953.9845370829864,1
691,2014-10-02 22:51:00,2014-10-02 22:56:00,C3.6,POINT(-911.424 292.3638),"POLYGON((-914.04 285.3552,-913.83 283.5336,-908.67 299.3556,-908.88 301.1652,-914.04 285.3552))",POINT(0.998880847771417 72.2149571597149),"POLYGON((0.999277 72.662098,0.998503 72.762476,0.998404 71.765859,0.999204 71.666941,0.999277 72.662098))",POINT(69.94215 18),"POLYGON((69.44215 17.5,70.44215 17.5,70.44215 18.5,69.44215 18.5,69.44215 17.5))",UTC-HGS-TOPO,POINT(-89 18),"POLYGON((-89.5 17.5,-88.5 17.5,-88.5 18.5,-89.5 18.5,-89.5 17.5))",2014-10-02 22:54:00,True,,12173,-88.5,18.5,-89.5,17.5,292.3638,-911.424,18,-89,957.1678532663118,1
692,2014-10-04 00:54:00,2014-10-04 01:11:00,C1.7,POINT(67.08 -159.9942),"POLYGON((58.677 -168.3366,75.411 -168.2016,75.4806 -151.6314,58.73148 -151.7664,58.677 -168.3366))",POINT(0.180990453391431 202.746608319096),"POLYGON((0.18598 199.216995,0.192305 204.148458,0.176705 206.463664,0.169772 201.155742,0.18598 199.216995))",POINT(148.62023 -3),"POLYGON((148.12023 -3.5,149.12023 -3.5,149.12023 -2.5,148.12023 -2.5,148.12023 -3.5))",UTC-HGS-TOPO,POINT(4 -3),"POLYGON((3.5 -3.5,4.5 -3.5,4.5 -2.5,3.5 -2.5,3.5 -3.5))",2014-10-04 01:02:00,True,,12178,4.5,-2.5,3.5,-3.5,-159.9942,67.08,-3,4,173.48737831219884,1
693,2014-10-04 06:48:00,2014-10-04 07:08:00,C1.0,POINT(-414.2394 85.3386),"POLYGON((-422.328 77.3952,-407.4948 76.5696,-406.1124 93.2844,-420.8958 94.1064,-422.328 77.3952))",POINT(0.441198268062252 78.359198521043),"POLYGON((0.447898 79.61529,0.432527 79.358026,0.434678 77.063511,0.449908 77.396753,0.447898 79.61529))",POINT(115.37655 11),"POLYGON((114.87655 10.5,115.87655 10.5,115.87655 11.5,114.87655 11.5,114.87655 10.5))",UTC-HGS-TOPO,POINT(-26 11),"POLYGON((-26.5 10.5,-25.5 10.5,-25.5 11.5,-26.5 11.5,-26.5 10.5))",2014-10-04 06:58:00,True,,12177,-25.5,11.5,-26.5,10.5,85.3386,-414.2394,11,-26,422.93847916963057,1
694,2014-10-05 09:32:00,2014-10-05 10:16:00,C1.0,POINT(376.2228 -117.144),"POLYGON((368.4078 -125.8422,383.862 -125.094,383.9826 -108.4296,368.5236 -109.1772,368.4078 -125.8422))",POINT(0.410916982898603 252.705046869669),"POLYGON((0.405984 251.140655,0.421024 251.950105,0.416089 254.2313,0.400819 253.497779,0.405984 251.140655))",POINT(149.67948 -1),"POLYGON((149.17948 -1.5,150.17948 -1.5,150.17948 -0.5,149.17948 -0.5,149.17948 -1.5))",UTC-HGS-TOPO,POINT(23 -1),"POLYGON((22.5 -1.5,23.5 -1.5,23.5 -0.5,22.5 -0.5,22.5 -1.5))",2014-10-05 09:54:00,True,,12178,23.5,-0.5,22.5,-1.5,-117.144,376.2228,-1,23,394.0384650967974,1
695,2014-10-06 00:01:00,2014-10-06 00:11:00,C1.2,POINT(667.8 -257.6964),"POLYGON((660.81 -266.4054,672.408 -265.0788,674.706 -248.9598,663.066 -250.29,660.81 -266.4054))",POINT(0.74632606313621 248.898967515583),"POLYGON((0.742879 248.043183,0.753599 248.484493,0.749846 249.746441,0.738961 249.319795,0.742879 248.043183))",POINT(163.71723 -11),"POLYGON((163.21723 -11.5,164.21723 -11.5,164.21723 -10.5,163.21723 -10.5,163.21723 -11.5))",UTC-HGS-TOPO,POINT(45 -11),"POLYGON((44.5 -11.5,45.5 -11.5,45.5 -10.5,44.5 -10.5,44.5 -11.5))",2014-10-06 00:06:00,True,,12181,45.5,-10.5,44.5,-11.5,-257.6964,667.8,-11,45,715.7962521367097,1
696,2014-10-06 15:44:00,2014-10-06 15:54:00,C1.7,POINT(767.55 -275.2086),"POLYGON((761.28 -283.9554,770.592 -282.4386,773.718 -266.4336,764.37 -267.9558,761.28 -283.9554))",POINT(0.850013579259763 250.274470128704),"POLYGON((0.847007 249.544619,0.855564 249.871024,0.853047 250.998601,0.844363 250.681491,0.847007 249.544619))",POINT(165.07708 -13),"POLYGON((164.57708 -13.5,165.57708 -13.5,165.57708 -12.5,164.57708 -12.5,164.57708 -13.5))",UTC-HGS-TOPO,POINT(55 -13),"POLYGON((54.5 -13.5,55.5 -13.5,55.5 -12.5,54.5 -12.5,54.5 -13.5))",2014-10-06 15:49:00,True,,12181,55.5,-12.5,54.5,-13.5,-275.2086,767.55,-13,55,815.3973117529638,1
697,2014-10-06 16:35:00,2014-10-06 17:34:00,C3.0,POINT(-807.078 -343.2222),"POLYGON((-808.428 -350.1948,-801.018 -351.7926,-805.59 -336.2232,-813.042 -334.6176,-808.428 -350.1948))",POINT(0.914250261640883 113.038361723003),"POLYGON((0.91841 113.421293,0.911996 113.710211,0.909988 112.653836,0.916524 112.370228,0.91841 113.421293))",POINT(47.60981 -18),"POLYGON((47.10981 -18.5,48.10981 -18.5,48.10981 -17.5,47.10981 -17.5,47.10981 -18.5))",UTC-HGS-TOPO,POINT(-62 -18),"POLYGON((-62.5 -18.5,-61.5 -18.5,-61.5 -17.5,-62.5 -17.5,-62.5 -18.5))",2014-10-06 17:07:00,True,,12185,-61.5,-17.5,-62.5,-18.5,-343.2222,-807.078,-18,-62,877.0270102208027,1
