,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
161,161,2016-05-28 11:49:00,2016-05-28 12:16:00,B3.3,POINT(-430.765542 -230.85036),"POLYGON((-436.766766 -238.945674,-422.676516 -238.815804,-424.665108 -222.737724,-438.821574 -222.868794,-436.766766 -238.945674))",POINT(0.516522934457518 118.187178281593),"POLYGON((0.526174 118.682118,0.513092 119.466815,0.50681 117.677103,0.520169 116.925114,0.526174 118.682118))",POINT(87.87696 -15),"POLYGON((87.37696 -15.5,88.37696 -15.5,88.37696 -14.5,87.37696 -14.5,87.37696 -15.5))",UTC-HGS-TOPO,POINT(-28 -15),"POLYGON((-28.5 -15.5,-27.5 -15.5,-27.5 -14.5,-28.5 -14.5,-28.5 -15.5))",2016-05-28 11:55:00,True,,12549,-27.5,-14.5,-28.5,-15.5,-230.85036,-430.765542,-15,-28,488.72368562070255,1
7,7,2010-01-03 20:43:00,2010-01-03 20:58:00,B3.3,POINT(761.664 -418.3968),"POLYGON((754.566 -425.7036,761.856 -426.4464,768.672 -411.0642,761.322 -410.3136,754.566 -425.7036))",POINT(0.891061424252722 241.219154493844),"POLYGON((0.888347 240.569607,0.895236 240.762222,0.893796 241.86338,0.886792 241.677604,0.888347 240.569607))",POINT(56.17792 -27),"POLYGON((55.67792 -27.5,56.67792 -27.5,56.67792 -26.5,55.67792 -26.5,55.67792 -27.5))",UTC-HGS-TOPO,POINT(61 -27),"POLYGON((60.5 -27.5,61.5 -27.5,61.5 -26.5,60.5 -26.5,60.5 -27.5))",2010-01-03 20:49:00,True,,11039,61.5,-26.5,60.5,-27.5,-418.3968,761.664,-27,61,869.0154953430001,1
73,73,2010-03-14 05:20:00,2010-03-14 05:29:00,B3.3,POINT(-180.1122 332.1198),"POLYGON((-188.5644 323.9688,-172.3632 324.3678,-171.6648 340.236,-187.8006 339.8382,-188.5644 323.9688))",POINT(0.391684028908492 28.4714611299528),"POLYGON((0.38861 30.201328,0.380803 27.985371,0.395079 26.773057,0.40253 28.925816,0.38861 30.201328))",POINT(150.75844 13),"POLYGON((150.25844 12.5,151.25844 12.5,151.25844 13.5,150.25844 13.5,150.25844 12.5))",UTC-HGS-TOPO,POINT(-11 13),"POLYGON((-11.5 12.5,-10.5 12.5,-10.5 13.5,-11.5 13.5,-11.5 12.5))",2010-03-14 05:24:00,True,,11054,-10.5,13.5,-11.5,12.5,332.1198,-180.1122,13,-11,377.8147246215796,1
81,81,2010-03-28 09:32:00,2010-03-28 09:40:00,B3.3,POINT(-192.8376 370.5054),"POLYGON((-201.243 362.52,-185.373 362.9214,-184.4418 378.4524,-200.2326 378.0528,-201.243 362.52))",POINT(0.434718685668056 27.4957044568577),"POLYGON((0.431541 29.035639,0.424143 27.057037,0.438174 25.982659,0.445251 27.907569,0.431541 29.035639))",POINT(-37.12942 16),"POLYGON((-37.62942 15.5,-36.62942 15.5,-36.62942 16.5,-37.62942 16.5,-37.62942 15.5))",UTC-HGS-TOPO,POINT(-12 16),"POLYGON((-12.5 15.5,-11.5 15.5,-11.5 16.5,-12.5 16.5,-12.5 15.5))",2010-03-28 09:37:00,True,,11057,-11.5,16.5,-12.5,15.5,370.5054,-192.8376,16,-12,417.6847991044443,1
107,107,2010-07-13 10:07:00,2010-07-13 10:16:00,B3.3,POINT(-392.5686 249.2616),"POLYGON((-400.7598 241.5318,-386.6838 241.0422,-384.36 256.9782,-398.3514 257.4648,-400.7598 241.5318))",POINT(0.49294901823334 57.5864768758952),"POLYGON((0.496022 58.923273,0.483029 58.062345,0.490124 56.233817,0.502802 57.12437,0.496022 58.923273))",POINT(-26.26096 19),"POLYGON((-26.76096 18.5,-25.76096 18.5,-25.76096 19.5,-26.76096 19.5,-26.76096 18.5))",UTC-HGS-TOPO,POINT(-26 19),"POLYGON((-26.5 18.5,-25.5 18.5,-25.5 19.5,-26.5 19.5,-26.5 18.5))",2010-07-13 10:13:00,True,,11087,-25.5,19.5,-26.5,18.5,249.2616,-392.5686,19,-26,465.0176888469083,1
142,142,2010-09-26 14:11:00,2010-09-26 14:23:00,B3.3,POINT(-46.9473 234.0006),"POLYGON((-54.94464 225.9144,-39.25824 225.8166,-38.99532 242.0772,-54.57666 242.1744,-54.94464 225.9144))",POINT(0.249508737495041 11.3445797057143),"POLYGON((0.243065 13.669509,0.239619 9.862307,0.25634 9.150953,0.259529 12.700068,0.243065 13.669509))",POINT(83.314077 21),"POLYGON((82.814077 20.5,83.814077 20.5,83.814077 21.5,82.814077 21.5,82.814077 20.5))",UTC-HGS-TOPO,POINT(-3 21),"POLYGON((-3.5 20.5,-2.5 20.5,-2.5 21.5,-3.5 21.5,-3.5 20.5))",2010-09-26 14:16:00,True,,11110,-2.5,21.5,-3.5,20.5,234.0006,-46.9473,21,-3,238.6636331275672,1
143,143,2010-09-27 00:14:00,2010-09-27 00:21:00,B3.3,POINT(31.30992 234.204),"POLYGON((23.56254 226.0356,39.26286 226.101,38.99988 242.3622,23.40474 242.2974,23.56254 226.0356))",POINT(0.246995955368235 352.385474370259),"POLYGON((0.23756 354.048833,0.239885 350.148719,0.256605 350.858575,0.254457 354.482626,0.23756 354.048833))",POINT(82.787669 21),"POLYGON((82.287669 20.5,83.287669 20.5,83.287669 21.5,82.287669 21.5,82.287669 20.5))",UTC-HGS-TOPO,POINT(2 21),"POLYGON((1.5 20.5,2.5 20.5,2.5 21.5,1.5 21.5,1.5 20.5))",2010-09-27 00:18:00,True,,11110,2.5,21.5,1.5,20.5,234.204,31.30992,21,2,236.28758898089927,1
160,160,2010-10-20 00:55:00,2010-10-20 01:07:00,B3.3,POINT(833.148 -348.1158),"POLYGON((827.37 -356.6202,833.772 -355.2066,838.812 -339.579,832.374 -340.9998,827.37 -356.6202))",POINT(0.93768667254728 247.323272510839),"POLYGON((0.935614 246.682572,0.941146 246.924848,0.939754 247.96026,0.934119 247.722492,0.935614 246.682572))",POINT(-157.0316 -19),"POLYGON((-157.5316 -19.5,-156.5316 -19.5,-156.5316 -18.5,-157.5316 -18.5,-157.5316 -19.5))",UTC-HGS-TOPO,POINT(66 -19),"POLYGON((65.5 -19.5,66.5 -19.5,66.5 -18.5,65.5 -18.5,65.5 -19.5))",2010-10-20 01:03:00,True,,11112,66.5,-18.5,65.5,-19.5,-348.1158,833.148,-19,66,902.950829288971,1
27,27,2017-02-28 04:30:00,2017-02-28 04:45:00,B3.3,POINT(-678.97878 361.027746),"POLYGON((-686.26746 352.434456,-675.22668 353.94525,-671.61552 369.583578,-682.5975 368.079972,-686.26746 352.434456))",POINT(0.794398738790324 61.9994523455339),"POLYGON((0.79696 62.817116,0.787555 62.337043,0.791914 61.176433,0.801133 61.664932,0.79696 62.817116))",POINT(30.378381 17),"POLYGON((29.878381 16.5,30.878381 16.5,30.878381 17.5,29.878381 17.5,29.878381 16.5))",UTC-HGS-TOPO,POINT(-47 17),"POLYGON((-47.5 16.5,-46.5 16.5,-46.5 17.5,-47.5 17.5,-47.5 16.5))",2017-02-28 04:38:00,True,,12641,-46.5,17.5,-47.5,16.5,361.027746,-678.97878,17,-47,768.994939562107,1
55,55,2017-03-31 05:45:00,2017-03-31 05:53:00,B3.3,POINT(497.475462 306.580494),"POLYGON((491.494842 299.119548,505.396398 298.109616,503.351682 314.012502,489.50628 315.019014,491.494842 299.119548))",POINT(0.60876918961508 301.644390180574),"POLYGON((0.599397 301.324335,0.611279 300.53436,0.618052 301.957695,0.606429 302.763079,0.599397 301.324335))",POINT(60.078436 13),"POLYGON((59.578436 12.5,60.578436 12.5,60.578436 13.5,59.578436 13.5,59.578436 12.5))",UTC-HGS-TOPO,POINT(32 13),"POLYGON((31.5 12.5,32.5 12.5,32.5 13.5,31.5 13.5,31.5 12.5))",2017-03-31 05:50:00,True,,12644,32.5,13.5,31.5,12.5,306.580494,497.475462,13,32,584.3572833407636,1
165,165,2017-07-09 16:20:00,2017-07-09 16:32:00,B3.3,POINT(-471.696378 -136.438344),"POLYGON((-478.411836 -144.328308,-464.182956 -144.878592,-464.89758 -128.533806,-479.148336 -127.98333,-478.411836 -144.328308))",POINT(0.520554006992128 106.132531492018),"POLYGON((0.529752 106.787625,0.515502 107.333941,0.511338 105.454934,0.525763 104.954908,0.529752 106.787625))",POINT(109.93928 -5),"POLYGON((109.43928 -5.5,110.43928 -5.5,110.43928 -4.5,109.43928 -4.5,109.43928 -5.5))",UTC-HGS-TOPO,POINT(-30 -5),"POLYGON((-30.5 -5.5,-29.5 -5.5,-29.5 -4.5,-30.5 -4.5,-30.5 -5.5))",2017-07-09 16:26:00,True,,12665,-29.5,-4.5,-30.5,-5.5,-136.438344,-471.696378,-5,-30,491.0324782860918,1
313,313,2017-12-23 06:24:00,2017-12-23 06:31:00,B3.3,POINT(-304.816956 316.124526),"POLYGON((-313.352304 307.93524,-297.869016 308.12424,-296.276178 324.286734,-311.676708 324.098334,-313.352304 307.93524))",POINT(0.450451701380829 43.9567383482466),"POLYGON((0.450645 45.499555,0.439598 44.030476,0.450561 42.415575,0.461224 43.880711,0.450645 45.499555))",POINT(82.05862 17),"POLYGON((81.55862 16.5,82.55862 16.5,82.55862 17.5,81.55862 17.5,81.55862 16.5))",UTC-HGS-TOPO,POINT(-19 17),"POLYGON((-19.5 16.5,-18.5 16.5,-18.5 17.5,-19.5 17.5,-19.5 16.5))",2017-12-23 06:29:00,True,,12692,-18.5,17.5,-19.5,16.5,316.124526,-304.816956,17,-19,439.1447285392717,1
8,8,2018-02-05 20:32:00,2018-02-05 20:41:00,B3.3,POINT(-889.64814 -128.491362),"POLYGON((-891.3114 -137.721636,-885.11436 -136.021116,-887.83944 -119.251014,-894.05532 -120.958026,-891.3114 -137.721636))",POINT(0.924254777779708 98.2183658227544),"POLYGON((0.927349 98.783636,0.920785 98.736656,0.921101 97.649954,0.92767 97.704846,0.927349 98.783636))",POINT(165.89596 -10),"POLYGON((165.39596 -10.5,166.39596 -10.5,166.39596 -9.5,165.39596 -9.5,165.39596 -10.5))",UTC-HGS-TOPO,POINT(-68 -10),"POLYGON((-68.5 -10.5,-67.5 -10.5,-67.5 -9.5,-68.5 -9.5,-68.5 -10.5))",2018-02-05 20:38:00,True,,12699,-67.5,-9.5,-68.5,-10.5,-128.491362,-889.64814,-10,-68,898.8792149750013,1
27,27,2018-02-26 15:48:00,2018-02-26 15:53:00,B3.3,POINT(117.917538 220.911132),"POLYGON((109.630248 212.762532,126.405216 212.503014,126.171186 229.033626,109.427274 229.292826,109.630248 212.762532))",POINT(0.258561601882668 331.907674061737),"POLYGON((0.247136 332.739286,0.255303 329.254141,0.269997 331.150291,0.262334 334.487745,0.247136 332.739286))",POINT(-33.04429 6),"POLYGON((-33.54429 5.5,-32.54429 5.5,-32.54429 6.5,-33.54429 6.5,-33.54429 5.5))",UTC-HGS-TOPO,POINT(7 6),"POLYGON((6.5 5.5,7.5 5.5,7.5 6.5,6.5 6.5,6.5 5.5))",2018-02-26 15:51:00,True,,12700,7.5,6.5,6.5,5.5,220.911132,117.917538,6,7,250.41220818782548,1
