,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
244,244,2015-04-09 12:56:00,2015-04-09 13:16:00,B5.1,POINT(257.229 -136.8474),"POLYGON((248.8404 -144.9144,264.4566 -145.3836,265.6128 -128.778,249.9282 -128.307,248.8404 -144.9144))",POINT(0.304290811208253 241.986749666987),"POLYGON((0.300735 239.78524,0.315171 241.20044,0.308279 244.134335,0.293402 242.825149,0.300735 239.78524))",POINT(-150.31601 -14),"POLYGON((-150.81601 -14.5,-149.81601 -14.5,-149.81601 -13.5,-150.81601 -13.5,-150.81601 -14.5))",UTC-HGS-TOPO,POINT(16 -14),"POLYGON((15.5 -14.5,16.5 -14.5,16.5 -13.5,15.5 -13.5,15.5 -14.5))",2015-04-09 13:01:00,True,,12320,16.5,-13.5,15.5,-14.5,-136.8474,257.229,-14,16,291.36569689611713,1
488,488,2015-07-05 06:33:00,2015-07-05 06:44:00,B5.1,POINT(-660.348 -265.0038),"POLYGON((-664.386 -272.5716,-653.322 -273.2448,-656.178 -257.4138,-667.296 -256.7388,-664.386 -272.5716))",POINT(0.754356599230045 111.866050891685),"POLYGON((0.76134 112.306425,0.750777 112.696588,0.747279 111.419712,0.758007 111.04398,0.76134 112.306425))",POINT(80.60587 -14),"POLYGON((80.10587 -14.5,81.10587 -14.5,81.10587 -13.5,80.10587 -13.5,80.10587 -14.5))",UTC-HGS-TOPO,POINT(-46 -14),"POLYGON((-46.5 -14.5,-45.5 -14.5,-45.5 -13.5,-46.5 -13.5,-46.5 -14.5))",2015-07-05 06:38:00,True,,12378,-45.5,-13.5,-46.5,-14.5,-265.0038,-660.348,-14,-46,711.538119230755,1
511,511,2015-07-17 15:53:00,2015-07-17 16:05:00,B5.1,POINT(-723.654 265.4706),"POLYGON((-730.356 258.0498,-721.2 257.064,-716.868 272.8776,-725.976 273.8568,-730.356 258.0498))",POINT(0.816954936473537 69.8545682528884),"POLYGON((0.820974 70.540638,0.811479 70.381936,0.812966 69.160548,0.822361 69.332236,0.820974 70.540638))",POINT(-91.34824 19),"POLYGON((-91.84824 18.5,-90.84824 18.5,-90.84824 19.5,-91.84824 19.5,-91.84824 18.5))",UTC-HGS-TOPO,POINT(-54 19),"POLYGON((-54.5 18.5,-53.5 18.5,-53.5 19.5,-54.5 19.5,-54.5 18.5))",2015-07-17 15:59:00,True,,12387,-53.5,19.5,-54.5,18.5,265.4706,-723.654,19,-54,770.8110995440842,1
727,727,2015-10-07 07:52:00,2015-10-07 08:05:00,B5.1,POINT(873.822 265.2018),"POLYGON((873.924 256.3392,878.538 258.0282,873.57 274.0404,868.986 272.3622,873.924 256.3392))",POINT(0.951841599949394 286.882853078301),"POLYGON((0.949302 286.347457,0.954412 286.367609,0.954307 287.41673,0.949225 287.402311,0.949302 286.347457))",POINT(36.64911 18),"POLYGON((36.14911 17.5,37.14911 17.5,37.14911 18.5,36.14911 18.5,36.14911 17.5))",UTC-HGS-TOPO,POINT(73 18),"POLYGON((72.5 17.5,73.5 17.5,73.5 18.5,72.5 18.5,72.5 17.5))",2015-10-07 07:58:00,True,,12427,73.5,18.5,72.5,17.5,265.2018,873.822,18,73,913.1795455479936,1
63,63,2016-02-21 07:43:00,2016-02-21 07:55:00,B5.1,POINT(609.13236 193.124322),"POLYGON((603.09498 185.473062,616.20378 184.159956,615.0642 200.754438,601.97958 202.065966,603.09498 185.473062))",POINT(0.658915765237168 287.591124849531),"POLYGON((0.650622 287.094517,0.663164 286.639412,0.667148 288.076471,0.654764 288.555313,0.650622 287.094517))",POINT(-2.45591000000002 6),"POLYGON((-2.95591 5.5,-1.95591 5.5,-1.95591 6.5,-2.95591 6.5,-2.95591 5.5))",UTC-HGS-TOPO,POINT(39 6),"POLYGON((38.5 5.5,39.5 5.5,39.5 6.5,38.5 6.5,38.5 5.5))",2016-02-21 07:53:00,True,,12505,39.5,6.5,38.5,5.5,193.124322,609.13236,6,39,639.0142688134039,1
65,65,2016-02-21 13:00:00,2016-02-21 13:08:00,B5.1,POINT(609.10302 193.201014),"POLYGON((603.06594 185.550936,616.17414 184.236654,615.03456 200.82993,601.9506 202.142628,603.06594 185.550936))",POINT(0.658942379057232 287.598474819725),"POLYGON((0.650648 287.102051,0.663189 286.646715,0.667175 288.083641,0.654793 288.562703,0.650648 287.102051))",POINT(-5.35502000000002 6),"POLYGON((-5.85502 5.5,-4.85502 5.5,-4.85502 6.5,-5.85502 6.5,-5.85502 5.5))",UTC-HGS-TOPO,POINT(39 6),"POLYGON((38.5 5.5,39.5 5.5,39.5 6.5,38.5 6.5,38.5 5.5))",2016-02-21 13:04:00,True,,12505,39.5,6.5,38.5,5.5,193.201014,609.10302,6,39,639.0094841109549,1
113,113,2016-04-27 00:50:00,2016-04-27 01:05:00,B5.1,POINT(-736.84158 290.340708),"POLYGON((-743.34846 281.88876,-733.68138 282.925398,-730.2444 298.765032,-739.86648 297.73227,-743.34846 281.88876))",POINT(0.831298323258985 68.4938685897956),"POLYGON((0.83447 69.23253,0.825381 68.912147,0.828167 67.749048,0.837119 68.079479,0.83447 69.23253))",POINT(118.86861 15),"POLYGON((118.36861 14.5,119.36861 14.5,119.36861 15.5,118.36861 15.5,118.36861 14.5))",UTC-HGS-TOPO,POINT(-53 15),"POLYGON((-53.5 14.5,-52.5 14.5,-52.5 15.5,-53.5 15.5,-53.5 14.5))",2016-04-27 00:57:00,True,,12536,-52.5,15.5,-53.5,14.5,290.340708,-736.84158,15,-53,791.9805810364529,1
103,103,2012-03-26 02:50:00,2012-03-26 02:58:00,B5.1,POINT(-16.3536 -120.8166),"POLYGON((-24.47442 -129.1932,-8.15898 -129.1596,-8.19462 -112.4382,-24.5814 -112.4724,-24.47442 -129.1932))",POINT(0.126832489571999 172.291358765277),"POLYGON((0.136791 169.272978,0.134633 176.385443,0.11728 175.83159,0.119768 167.671578,0.136791 169.272978))",POINT(75.620673 -14),"POLYGON((75.120673 -14.5,76.120673 -14.5,76.120673 -13.5,75.120673 -13.5,75.120673 -14.5))",UTC-HGS-TOPO,POINT(-1 -14),"POLYGON((-1.5 -14.5,-0.5 -14.5,-0.5 -13.5,-1.5 -13.5,-1.5 -14.5))",2012-03-26 02:55:00,True,,11438,-0.5,-13.5,-1.5,-14.5,-120.8166,-16.3536,-14,-1,121.91837871510594,1
270,270,2013-06-03 06:21:00,2013-06-03 06:36:00,B5.1,POINT(32.0121 -239.5002),"POLYGON((23.95392 -247.506,39.915 -247.509,40.10292 -231.4758,24.06672 -231.4728,23.95392 -247.506))",POINT(0.255583284082111 187.613150558372),"POLYGON((0.263022 185.527936,0.265184 189.161037,0.24849 189.828865,0.246159 185.935836,0.263022 185.527936))",POINT(107.37084 -15),"POLYGON((106.87084 -15.5,107.87084 -15.5,107.87084 -14.5,106.87084 -14.5,106.87084 -15.5))",UTC-HGS-TOPO,POINT(2 -15),"POLYGON((1.5 -15.5,2.5 -15.5,2.5 -14.5,1.5 -14.5,1.5 -15.5))",2013-06-03 06:25:00,True,,11761,2.5,-14.5,1.5,-15.5,-239.5002,32.0121,-15,2,241.6301312884012,1
474,474,2013-09-18 14:32:00,2013-09-18 14:48:00,B5.1,POINT(-781.794 -276.6648),"POLYGON((-784.548 -283.7376,-775.758 -285.4494,-778.908 -269.5686,-787.734 -267.8514,-784.548 -283.7376))",POINT(0.86884011869202 109.488083524278),"POLYGON((0.874053 109.8829,0.866016 110.201693,0.86353 109.089984,0.871693 108.779457,0.874053 109.8829))",POINT(68.8428 -13),"POLYGON((68.3428 -13.5,69.3428 -13.5,69.3428 -12.5,68.3428 -12.5,68.3428 -13.5))",UTC-HGS-TOPO,POINT(-57 -13),"POLYGON((-57.5 -13.5,-56.5 -13.5,-56.5 -12.5,-57.5 -12.5,-57.5 -13.5))",2013-09-18 14:43:00,True,,11846,-56.5,-12.5,-57.5,-13.5,-276.6648,-781.794,-13,-57,829.3040877718134,1
