,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
35,35,2011-02-28 07:34:00,2011-02-28 07:40:00,C2.4,POINT(-631.938 455.5848),"POLYGON((-639.756 447.4218,-628.722 448.8336,-624.06 463.7022,-635.016 462.3,-639.756 447.4218))",POINT(0.804669703553586 54.2109316408893),"POLYGON((0.806372 55.032475,0.797906 54.477625,0.803055 53.386136,0.811314 53.944889,0.806372 55.032475))",POINT(162.42694 23),"POLYGON((161.92694 22.5,162.92694 22.5,162.92694 23.5,161.92694 23.5,161.92694 22.5))",UTC-HGS-TOPO,POINT(-45 23),"POLYGON((-45.5 22.5,-44.5 22.5,-44.5 23.5,-45.5 23.5,-45.5 22.5))",2011-02-28 07:38:00,True,,11164,-44.5,23.5,-45.5,22.5,455.5848,-631.938,23,-45,779.0398871913042,1
54,54,2011-03-06 07:30:00,2011-03-06 07:35:00,C2.4,POINT(522.8028 423.321),"POLYGON((517.9074 416.3034,530.9562 415.1298,527.577 430.302,514.611 431.4684,517.9074 416.3034))",POINT(0.695874327292326 308.997593266729),"POLYGON((0.687375 308.792955,0.697198 308.020188,0.704261 309.20135,0.694694 309.97768,0.687375 308.792955))",POINT(163.42279 20),"POLYGON((162.92279 19.5,163.92279 19.5,163.92279 20.5,162.92279 20.5,162.92279 19.5))",UTC-HGS-TOPO,POINT(35 20),"POLYGON((34.5 19.5,35.5 19.5,35.5 20.5,34.5 20.5,34.5 19.5))",2011-03-06 07:33:00,True,,11164,35.5,20.5,34.5,19.5,423.321,522.8028,20,35,672.698622511478,1
130,130,2011-04-14 15:21:00,2011-04-14 15:34:00,C2.4,POINT(114.0396 306.8136),"POLYGON((106.1412 298.9614,122.3826 298.761,121.887 314.6352,105.7116 314.8344,106.1412 298.9614))",POINT(0.342324791384684 339.610394389131),"POLYGON((0.331785 340.453452,0.337654 337.724336,0.352885 338.824056,0.34733 341.43955,0.331785 340.453452))",POINT(-23.22044 13),"POLYGON((-23.72044 12.5,-22.72044 12.5,-22.72044 13.5,-23.72044 13.5,-23.72044 12.5))",UTC-HGS-TOPO,POINT(7 13),"POLYGON((6.5 12.5,7.5 12.5,7.5 13.5,6.5 13.5,6.5 12.5))",2011-04-14 15:27:00,True,,11190,7.5,13.5,6.5,12.5,306.8136,114.0396,13,7,327.32188364531936,1
177,177,2011-04-22 22:39:00,2011-04-22 22:54:00,C2.4,POINT(-460.3296 -193.7736),"POLYGON((-466.0704 -202.2888,-452.2086 -201.6006,-454.4832 -185.247,-468.4152 -185.9394,-466.0704 -202.2888))",POINT(0.523546869197945 112.82843234388),"POLYGON((0.532589 113.462317,0.518998 114.027948,0.514464 112.175771,0.528284 111.650813,0.532589 113.462317))",POINT(-169.88828 -16),"POLYGON((-170.38828 -16.5,-169.38828 -16.5,-169.38828 -15.5,-170.38828 -15.5,-170.38828 -16.5))",UTC-HGS-TOPO,POINT(-30 -16),"POLYGON((-30.5 -16.5,-29.5 -16.5,-29.5 -15.5,-30.5 -15.5,-30.5 -16.5))",2011-04-22 22:46:00,True,,11195,-29.5,-15.5,-30.5,-16.5,-193.7736,-460.3296,-16,-30,499.45124756388384,1
180,180,2011-04-23 07:30:00,2011-04-23 07:38:00,C2.4,POINT(-374.5068 -190.494),"POLYGON((-380.8542 -198.9528,-366.2226 -198.3966,-368.0652 -182.0244,-382.77 -182.5836,-380.8542 -198.9528))",POINT(0.440486124084073 116.960300258242),"POLYGON((0.450464 117.581924,0.436648 118.446077,0.430469 116.314417,0.444592 115.501424,0.450464 117.581924))",POINT(-168.75941 -16),"POLYGON((-169.25941 -16.5,-168.25941 -16.5,-168.25941 -15.5,-169.25941 -15.5,-169.25941 -16.5))",UTC-HGS-TOPO,POINT(-24 -16),"POLYGON((-24.5 -16.5,-23.5 -16.5,-23.5 -15.5,-24.5 -15.5,-24.5 -16.5))",2011-04-23 07:34:00,True,,11195,-23.5,-15.5,-24.5,-16.5,-190.494,-374.5068,-16,-24,420.17056927186127,1
299,299,2011-07-28 16:43:00,2011-07-28 16:54:00,C2.4,POINT(-321.324 227.1702),"POLYGON((-329.5902 219.4032,-314.9454 218.871,-313.053 234.9276,-327.6096 235.4562,-329.5902 219.4032))",POINT(0.416710475734861 54.740386894446),"POLYGON((0.419275 56.348896,0.406135 55.202669,0.414468 53.113959,0.427224 54.294831,0.419275 56.348896))",POINT(-0.908269000000001 19),"POLYGON((-1.408269 18.5,-0.408269 18.5,-0.408269 19.5,-1.408269 19.5,-1.408269 18.5))",UTC-HGS-TOPO,POINT(-21 19),"POLYGON((-21.5 18.5,-20.5 18.5,-20.5 19.5,-21.5 19.5,-21.5 18.5))",2011-07-28 16:50:00,True,,11260,-20.5,19.5,-21.5,18.5,227.1702,-321.324,19,-21,393.51672485936353,1
374,374,2011-08-09 15:43:00,2011-08-09 16:04:00,C2.4,POINT(883.638 217.5492),"POLYGON((883.596 208.7022,887.67 210.3894,883.53 226.377,879.474 224.6988,883.596 208.7022))",POINT(0.962098648386101 283.830992943956),"POLYGON((0.959862 283.289495,0.964465 283.333807,0.964262 284.371101,0.959668 284.332031,0.959862 283.289495))",POINT(-63.05282 15),"POLYGON((-63.55282 14.5,-62.55282 14.5,-62.55282 15.5,-63.55282 15.5,-63.55282 14.5))",UTC-HGS-TOPO,POINT(75 15),"POLYGON((74.5 14.5,75.5 14.5,75.5 15.5,74.5 15.5,74.5 14.5))",2011-08-09 15:54:00,True,,11263,75.5,15.5,74.5,14.5,217.5492,883.638,15,75,910.0240488386225,1
414,414,2011-09-03 07:47:00,2011-09-03 08:04:00,C2.4,POINT(15.55074 -451.251),"POLYGON((7.74918 -458.577,23.24514 -458.5422,23.40228 -443.8812,7.80156 -443.916,7.74918 -458.577))",POINT(0.475009116436301 181.973711550926),"POLYGON((0.482503 180.96811,0.483017 182.902043,0.467623 183.017951,0.467083 181.006836,0.482503 180.96811))",POINT(-103.05944 -21),"POLYGON((-103.55944 -21.5,-102.55944 -21.5,-102.55944 -20.5,-103.55944 -20.5,-103.55944 -21.5))",UTC-HGS-TOPO,POINT(1 -21),"POLYGON((0.5 -21.5,1.5 -21.5,1.5 -20.5,0.5 -20.5,0.5 -21.5))",2011-09-03 07:56:00,True,,11281,1.5,-20.5,0.5,-21.5,-451.251,15.55074,-21,1,451.5188706084693,1
454,454,2011-09-19 04:52:00,2011-09-19 05:14:00,C2.4,POINT(-45.83766 278.217),"POLYGON((-53.67462 270.2574,-38.35086 270.1584,-38.05308 286.1646,-53.25792 286.2624,-53.67462 270.2574))",POINT(0.295417143883127 9.35572277617624),"POLYGON((0.288679 11.233089,0.285882 8.07955,0.302453 7.574537,0.305063 10.539145,0.288679 11.233089))",POINT(43.273867 24),"POLYGON((42.773867 23.5,43.773867 23.5,43.773867 24.5,42.773867 24.5,42.773867 23.5))",UTC-HGS-TOPO,POINT(-3 24),"POLYGON((-3.5 23.5,-2.5 23.5,-2.5 24.5,-3.5 24.5,-3.5 23.5))",2011-09-19 04:59:00,True,,11296,-2.5,24.5,-3.5,23.5,278.217,-45.83766,24,-3,281.9677112069316,1
507,507,2011-09-27 08:05:00,2011-09-27 08:21:00,C2.4,POINT(-276.6636 57.00318),"POLYGON((-284.9742 48.92988,-269.163 48.3504,-268.335 65.0814,-284.0976 65.6586,-284.9742 48.92988))",POINT(0.295288876817353 78.357817898723),"POLYGON((0.302261 80.257352,0.285877 79.816428,0.28864 76.366856,0.304813 76.986693,0.302261 80.257352))",POINT(-78.08689 10),"POLYGON((-78.58689 9.5,-77.58689 9.5,-77.58689 10.5,-78.58689 10.5,-78.58689 9.5))",UTC-HGS-TOPO,POINT(-17 10),"POLYGON((-17.5 9.5,-16.5 9.5,-16.5 10.5,-17.5 10.5,-17.5 9.5))",2011-09-27 08:13:00,True,,11302,-16.5,10.5,-17.5,9.5,57.00318,-276.6636,10,-17,282.47497251096854,1
