,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
37,37,2011-03-01 02:30:00,2011-03-01 04:40:00,C6.0,POINT(-470.1804 486.3882),"POLYGON((-478.5624 478.5336,-465.3978 479.5872,-461.778 494.1942,-474.84 493.1484,-478.5624 478.5336))",POINT(0.698885398933439 44.0292910687973),"POLYGON((0.69917 45.001724,0.690401 44.139741,0.698751 43.057893,0.707254 43.916445,0.69917 45.001724))",POINT(165.03549 24),"POLYGON((164.53549 23.5,165.53549 23.5,165.53549 24.5,164.53549 24.5,164.53549 23.5))",UTC-HGS-TOPO,POINT(-32 24),"POLYGON((-32.5 23.5,-31.5 23.5,-31.5 24.5,-32.5 24.5,-32.5 23.5))",2011-03-01 04:13:00,True,,11164,-31.5,24.5,-32.5,23.5,486.3882,-470.1804,24,-32,676.4932295621294,1
614,614,2011-11-17 07:16:00,2011-11-17 07:30:00,C6.0,POINT(-128.178 -358.6932),"POLYGON((-135.7146 -366.522,-119.847 -366.6282,-120.573 -350.8338,-136.5366 -350.727,-135.7146 -366.522))",POINT(0.392752363465705 160.335794575945),"POLYGON((0.402995 159.681577,0.397714 161.897962,0.382511 161.033407,0.38807 158.729238,0.402995 159.681577))",POINT(-21.28591 -19),"POLYGON((-21.78591 -19.5,-20.78591 -19.5,-20.78591 -18.5,-21.78591 -18.5,-21.78591 -19.5))",UTC-HGS-TOPO,POINT(-8 -19),"POLYGON((-8.5 -19.5,-7.5 -19.5,-7.5 -18.5,-8.5 -18.5,-8.5 -19.5))",2011-11-17 07:27:00,True,,11346,-7.5,-18.5,-8.5,-19.5,-358.6932,-128.178,-19,-8,380.9073527909904,1
22,22,2015-01-06 05:16:00,2015-01-06 05:58:00,C6.0,POINT(266.7174 -95.0226),"POLYGON((258.2244 -103.3848,274.4298 -103.6722,275.1912 -86.6574,258.9414 -86.3694,258.2244 -103.3848))",POINT(0.290321566330556 250.390695915084),"POLYGON((0.285208 248.180414,0.300801 249.304783,0.295832 252.520844,0.279891 251.55398,0.285208 248.180414))",POINT(-0.848729999999989 -9),"POLYGON((-1.34873 -9.5,-0.34873 -9.5,-0.34873 -8.5,-1.34873 -8.5,-1.34873 -9.5))",UTC-HGS-TOPO,POINT(16 -9),"POLYGON((15.5 -9.5,16.5 -9.5,16.5 -8.5,15.5 -8.5,15.5 -9.5))",2015-01-06 05:31:00,True,,12253,16.5,-8.5,15.5,-9.5,-95.0226,266.7174,-9,16,283.1385985229142,1
122,122,2015-02-12 02:03:00,2015-02-12 02:17:00,C6.0,POINT(909.444 -62.5662),"POLYGON((905.688 -70.0704,911.394 -71.9076,913.062 -55.0623,907.35 -53.2203,905.688 -70.0704))",POINT(0.938303396811686 266.064474849435),"POLYGON((0.935011 265.576008,0.941013 265.488795,0.941522 266.548951,0.935541 266.643182,0.935011 265.576008))",POINT(-72.26699 -6),"POLYGON((-72.76699 -6.5,-71.76699 -6.5,-71.76699 -5.5,-72.76699 -5.5,-72.76699 -6.5))",UTC-HGS-TOPO,POINT(70 -6),"POLYGON((69.5 -6.5,70.5 -6.5,70.5 -5.5,69.5 -5.5,69.5 -6.5))",2015-02-12 02:12:00,True,,12280,70.5,-5.5,69.5,-6.5,-62.5662,909.444,-6,70,911.5936147859088,1
300,300,2016-11-30 01:14:00,2016-11-30 01:23:00,C6.0,POINT(-750.50382 -146.027388),"POLYGON((-754.79568 -154.318266,-744.24972 -154.550274,-746.0841 -137.724228,-756.65592 -137.492718,-754.79568 -154.318266))",POINT(0.78631842731764 101.010609212542),"POLYGON((0.792315 101.554902,0.781741 101.731264,0.780262 100.458842,0.790914 100.298903,0.792315 101.554902))",POINT(133.50523 -8),"POLYGON((133.00523 -8.5,134.00523 -8.5,134.00523 -7.5,133.00523 -7.5,133.00523 -8.5))",UTC-HGS-TOPO,POINT(-51 -8),"POLYGON((-51.5 -8.5,-50.5 -8.5,-50.5 -7.5,-51.5 -7.5,-51.5 -8.5))",2016-11-30 01:19:00,True,,12615,-50.5,-7.5,-51.5,-8.5,-146.027388,-750.50382,-8,-51,764.5783033023465,1
229,229,2013-05-18 03:30:00,2013-05-18 03:56:00,C6.0,POINT(-365.1396 216.1014),"POLYGON((-373.2474 207.8718,-358.2204 208.1352,-357.0012 224.3106,-371.9766 224.0478,-373.2474 207.8718))",POINT(0.4475356775902 59.381583847461),"POLYGON((0.450629 60.885357,0.43699 59.842318,0.444716 57.858077,0.458024 58.938733,0.450629 60.885357))",POINT(-64.36003 11),"POLYGON((-64.86003 10.5,-63.86003 10.5,-63.86003 11.5,-64.86003 11.5,-64.86003 10.5))",UTC-HGS-TOPO,POINT(-23 11),"POLYGON((-23.5 10.5,-22.5 10.5,-22.5 11.5,-23.5 11.5,-23.5 10.5))",2013-05-18 03:45:00,True,,11748,-22.5,11.5,-23.5,10.5,216.1014,-365.1396,11,-23,424.2955839625484,1
241,241,2013-05-20 16:20:00,2013-05-20 16:30:00,C6.0,POINT(145.0758 246.1176),"POLYGON((137.3502 238.1322,153.3672 238.0398,152.7468 254.0814,136.7952 254.1732,137.3502 238.1322))",POINT(0.30148920772729 329.482468755033),"POLYGON((0.290103 330.024456,0.298825 327.20663,0.312852 328.986864,0.304606 331.711005,0.290103 330.024456))",POINT(-65.88943 13),"POLYGON((-66.38943 12.5,-65.38943 12.5,-65.38943 13.5,-66.38943 13.5,-66.38943 12.5))",UTC-HGS-TOPO,POINT(9 13),"POLYGON((8.5 12.5,9.5 12.5,9.5 13.5,8.5 13.5,8.5 12.5))",2013-05-20 16:26:00,True,,11748,9.5,13.5,8.5,12.5,246.1176,145.0758,13,9,285.69364846877505,1
342,342,2013-07-03 19:59:00,2013-07-03 20:08:00,C6.0,POINT(-741.258 -130.8498),"POLYGON((-745.542 -138.6468,-735.492 -139.3722,-736.848 -123.0402,-746.916 -122.3142,-745.542 -138.6468))",POINT(0.798025479209437 100.010945580482),"POLYGON((0.803969 100.534824,0.793639 100.730049,0.792016 99.479889,0.802421 99.30015,0.803969 100.534824))",POINT(8.765024 -6),"POLYGON((8.265024 -6.5,9.265024 -6.5,9.265024 -5.5,8.265024 -5.5,8.265024 -6.5))",UTC-HGS-TOPO,POINT(-52 -6),"POLYGON((-52.5 -6.5,-51.5 -6.5,-51.5 -5.5,-52.5 -5.5,-52.5 -6.5))",2013-07-03 20:04:00,True,,11785,-51.5,-5.5,-52.5,-6.5,-130.8498,-741.258,-6,-52,752.7184684356032,1
291,291,2017-09-08 07:04:00,2017-09-08 07:10:00,C6.0,POINT(794.29338 -180.454944),"POLYGON((788.90562 -189.453174,797.84526 -187.69308,799.56918 -171.436524,790.61034 -173.199336,788.90562 -189.453174))",POINT(0.85569043537322 257.200280163209),"POLYGON((0.85233 256.496313,0.861039 256.761876,0.85906 257.898373,0.850254 257.643394,0.85233 256.496313))",POINT(115.553244 -7),"POLYGON((115.053244 -7.5,116.053244 -7.5,116.053244 -6.5,115.053244 -6.5,115.053244 -7.5))",UTC-HGS-TOPO,POINT(57 -7),"POLYGON((56.5 -7.5,57.5 -7.5,57.5 -6.5,56.5 -6.5,56.5 -7.5))",2017-09-08 07:08:00,True,,12673,57.5,-6.5,56.5,-7.5,-180.454944,794.29338,-7,57,814.5341983771261,1
481,481,2014-07-01 10:04:00,2014-07-01 10:29:00,C6.0,POINT(-774.528 220.0116),"POLYGON((-780.492 212.3226,-772.074 211.6536,-768.468 227.688,-776.844 228.3528,-780.492 212.3226))",POINT(0.853606047201033 74.1423288335134),"POLYGON((0.857514 74.781706,0.848718 74.66976,0.849704 73.496065,0.85842 73.619334,0.857514 74.781706))",POINT(-102.842 15),"POLYGON((-103.342 14.5,-102.342 14.5,-102.342 15.5,-103.342 15.5,-103.342 14.5))",UTC-HGS-TOPO,POINT(-58 15),"POLYGON((-58.5 14.5,-57.5 14.5,-57.5 15.5,-58.5 15.5,-58.5 14.5))",2014-07-01 10:15:00,True,,12106,-57.5,15.5,-58.5,14.5,220.0116,-774.528,15,-58,805.1699987695516,1
