,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
33,33,2011-02-27 14:30:00,2011-02-27 14:49:00,B6.1,POINT(-705.66 486.2556),"POLYGON((-713.088 478.1754,-704.148 479.7516,-698.16 494.2884,-707.028 492.7242,-713.088 478.1754))",POINT(0.885011028869944 55.4300828404851),"POLYGON((0.886664 56.155382,0.879926 55.73253,0.883412 54.701992,0.889977 55.127557,0.886664 56.155382))",POINT(162.79366 26),"POLYGON((162.29366 25.5,163.29366 25.5,163.29366 26.5,162.29366 26.5,162.29366 25.5))",UTC-HGS-TOPO,POINT(-54 26),"POLYGON((-54.5 25.5,-53.5 25.5,-53.5 26.5,-54.5 26.5,-54.5 25.5))",2011-02-27 14:42:00,True,,11164,-53.5,26.5,-54.5,25.5,486.2556,-705.66,26,-54,856.9717288985441,1
234,234,2011-06-06 15:02:00,2011-06-06 15:10:00,B6.1,POINT(445.6776 325.0116),"POLYGON((440.3154 317.2356,453.8136 317.2176,450.9288 332.763,437.5164 332.781,440.3154 317.2356))",POINT(0.583690149509527 306.101502665031),"POLYGON((0.574267 305.771752,0.585904 304.953709,0.593022 306.425478,0.581675 307.257119,0.574267 305.771752))",POINT(19.20997 20),"POLYGON((18.70997 19.5,19.70997 19.5,19.70997 20.5,18.70997 20.5,18.70997 19.5))",UTC-HGS-TOPO,POINT(30 20),"POLYGON((29.5 19.5,30.5 19.5,30.5 20.5,29.5 20.5,29.5 19.5))",2011-06-06 15:06:00,True,,11228,30.5,20.5,29.5,19.5,325.0116,445.6776,20,30,551.5986432872364,1
272,272,2011-07-08 18:12:00,2011-07-08 18:28:00,B6.1,POINT(-216.642 -363.0852),"POLYGON((-223.5288 -370.5726,-208.4136 -370.8192,-209.6766 -355.566,-224.8824 -355.3182,-223.5288 -370.5726))",POINT(0.448256945339771 149.17674538015),"POLYGON((0.45882 148.901687,0.45098 150.662462,0.437633 149.472227,0.445816 147.670106,0.45882 148.901687))",POINT(-90.09626 -19),"POLYGON((-90.59626 -19.5,-89.59626 -19.5,-89.59626 -18.5,-90.59626 -18.5,-90.59626 -19.5))",UTC-HGS-TOPO,POINT(-14 -19),"POLYGON((-14.5 -19.5,-13.5 -19.5,-13.5 -18.5,-14.5 -18.5,-14.5 -19.5))",2011-07-08 18:20:00,True,,11247,-13.5,-18.5,-14.5,-19.5,-363.0852,-216.642,-19,-14,422.80565112476904,1
286,286,2011-07-25 17:58:00,2011-07-25 18:07:00,B6.1,POINT(-792.102 285.2448),"POLYGON((-798.066 278.019,-791.052 276.7674,-786.042 292.4562,-793.008 293.6988,-798.066 278.019))",POINT(0.891769403731485 70.1954836500334),"POLYGON((0.895169 70.793404,0.887717 70.716458,0.888367 69.591689,0.895743 69.677363,0.895169 70.793404))",POINT(-3.91268 20),"POLYGON((-4.41268 19.5,-3.41268 19.5,-3.41268 20.5,-4.41268 20.5,-4.41268 19.5))",UTC-HGS-TOPO,POINT(-63 20),"POLYGON((-63.5 19.5,-62.5 19.5,-62.5 20.5,-63.5 20.5,-63.5 19.5))",2011-07-25 18:02:00,True,,11260,-62.5,20.5,-63.5,19.5,285.2448,-792.102,20,-63,841.8967717784883,1
388,388,2011-08-21 14:42:00,2011-08-21 14:54:00,B6.1,POINT(-201.1728 -427.887),"POLYGON((-208.0932 -435.0594,-192.9372 -435.4878,-194.1738 -420.6744,-209.4264 -420.2442,-208.0932 -435.0594))",POINT(0.498812495100384 154.819247128285),"POLYGON((0.508778 154.437751,0.502499 156.104886,0.488797 155.22302,0.49535 153.51088,0.508778 154.437751))",POINT(50.886076 -20),"POLYGON((50.386076 -20.5,51.386076 -20.5,51.386076 -19.5,50.386076 -19.5,50.386076 -20.5))",UTC-HGS-TOPO,POINT(-13 -20),"POLYGON((-13.5 -20.5,-12.5 -20.5,-12.5 -19.5,-13.5 -19.5,-13.5 -20.5))",2011-08-21 14:48:00,True,,11272,-12.5,-19.5,-13.5,-20.5,-427.887,-201.1728,-20,-13,472.81897194258175,1
633,633,2015-09-13 05:20:00,2015-09-13 05:33:00,B6.1,POINT(538.4652 -277.8264),"POLYGON((530.8176 -286.3686,544.1916 -285.1752,546.0528 -269.2536,532.6332 -270.4506,530.8176 -286.3686))",POINT(0.635841438330634 242.708084702563),"POLYGON((0.632927 241.653765,0.644731 242.343908,0.638899 243.752519,0.626867 243.080296,0.632927 241.653765))",POINT(-43.19922 -11),"POLYGON((-43.69922 -11.5,-42.69922 -11.5,-42.69922 -10.5,-43.69922 -10.5,-43.69922 -11.5))",UTC-HGS-TOPO,POINT(35 -11),"POLYGON((34.5 -11.5,35.5 -11.5,35.5 -10.5,34.5 -10.5,34.5 -11.5))",2015-09-13 05:24:00,True,,12414,35.5,-10.5,34.5,-11.5,-277.8264,538.4652,-11,35,605.9144165210133,1
852,852,2015-12-18 15:29:00,2015-12-18 15:38:00,B6.1,POINT(509.5476 -268.0884),"POLYGON((501.327 -276.1908,514.962 -276.381,517.7268 -259.9674,504.0186 -259.7754,501.327 -276.1908))",POINT(0.590790075215086 242.249785214862),"POLYGON((0.587305 241.148776,0.599689 241.777467,0.594445 243.33729,0.581818 242.733043,0.587305 241.148776))",POINT(123.242327 -17),"POLYGON((122.742327 -17.5,123.742327 -17.5,123.742327 -16.5,122.742327 -16.5,122.742327 -17.5))",UTC-HGS-TOPO,POINT(33 -17),"POLYGON((32.5 -17.5,33.5 -17.5,33.5 -16.5,32.5 -16.5,32.5 -17.5))",2015-12-18 15:34:00,True,,12468,33.5,-16.5,32.5,-17.5,-268.0884,509.5476,-17,33,575.7691784737352,1
2,2,2012-01-02 09:27:00,2012-01-02 09:32:00,B6.1,POINT(-309.8346 -415.2594),"POLYGON((-315.375 -423.1158,-301.362 -422.835,-304.1814 -407.3736,-318.3252 -407.6574,-315.375 -423.1158))",POINT(0.531257271116569 143.272533044848),"POLYGON((0.541111 143.300505,0.532414 144.521854,0.52131 143.251706,0.530344 142.014985,0.541111 143.300505))",POINT(78.400477 -28),"POLYGON((77.900477 -28.5,78.900477 -28.5,78.900477 -27.5,77.900477 -27.5,77.900477 -28.5))",UTC-HGS-TOPO,POINT(-21 -28),"POLYGON((-21.5 -28.5,-20.5 -28.5,-20.5 -27.5,-21.5 -27.5,-21.5 -28.5))",2012-01-02 09:30:00,True,,11389,-20.5,-27.5,-21.5,-28.5,-415.2594,-309.8346,-28,-21,518.1098808607301,1
258,258,2012-05-28 11:44:00,2012-05-28 11:50:00,B6.1,POINT(-145.9536 -164.3544),"POLYGON((-153.7206 -172.539,-137.6676 -172.4946,-138.1374 -156.1578,-154.2456 -156.2028,-153.7206 -172.539))",POINT(0.232299976678537 138.393580071098),"POLYGON((0.244218 138.301118,0.23324 141.406702,0.220338 138.503983,0.232002 135.361212,0.244218 138.301118))",POINT(-49.64888 -11),"POLYGON((-50.14888 -11.5,-49.14888 -11.5,-49.14888 -10.5,-50.14888 -10.5,-50.14888 -11.5))",UTC-HGS-TOPO,POINT(-9 -11),"POLYGON((-9.5 -11.5,-8.5 -11.5,-8.5 -10.5,-9.5 -10.5,-9.5 -11.5))",2012-05-28 11:47:00,True,,11490,-8.5,-10.5,-9.5,-11.5,-164.3544,-145.9536,-11,-9,219.80632873582144,1
145,145,2010-09-27 21:52:00,2010-09-27 22:02:00,B6.1,POINT(-47.56692 202.2546),"POLYGON((-55.65054 194.1018,-39.76266 194.0028,-39.52374 210.4008,-55.3161 210.4986,-55.65054 194.1018))",POINT(0.217134464580451 13.2345076885164),"POLYGON((0.21102 15.998021,0.206959 11.582883,0.223727 10.639013,0.227452 14.723637,0.21102 15.998021))",POINT(65.891922 19),"POLYGON((65.391922 18.5,66.391922 18.5,66.391922 19.5,65.391922 19.5,65.391922 18.5))",UTC-HGS-TOPO,POINT(-3 19),"POLYGON((-3.5 18.5,-2.5 18.5,-2.5 19.5,-3.5 19.5,-3.5 18.5))",2010-09-27 21:58:00,True,,11109,-2.5,19.5,-3.5,18.5,202.2546,-47.56692,19,-3,207.77279682250608,1
