,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
197,197,2011-05-14 00:57:00,2011-05-14 01:00:00,B2.1,POINT(827.454 -291.8214),"POLYGON((821.874 -299.3526,827.928 -300.042,832.92 -284.2722,826.83 -283.578,821.874 -299.3526))",POINT(0.924537920785234 250.573585629673),"POLYGON((0.921681 249.98677,0.927924 250.079429,0.927372 251.155436,0.921063 251.069563,0.921681 249.98677))",POINT(8.27676000000002 -19),"POLYGON((7.77676 -19.5,8.77676 -19.5,8.77676 -18.5,7.77676 -18.5,7.77676 -19.5))",UTC-HGS-TOPO,POINT(67 -19),"POLYGON((66.5 -19.5,67.5 -19.5,67.5 -18.5,66.5 -18.5,66.5 -19.5))",2011-05-14 00:58:00,True,,11213,67.5,-18.5,66.5,-19.5,-291.8214,827.454,-19,67,877.4051809819453,1
164,164,2010-10-25 05:55:00,2010-10-25 06:00:00,B2.1,POINT(-190.4232 235.317),"POLYGON((-198.822 227.2596,-183.1428 226.9698,-182.0418 243.363,-197.6268 243.651,-198.822 227.2596))",POINT(0.313903641758593 38.9804733964517),"POLYGON((0.313118 41.18162,0.302426 38.900192,0.315151 36.797436,0.325321 39.045718,0.313118 41.18162))",POINT(56.276672 19),"POLYGON((55.776672 18.5,56.776672 18.5,56.776672 19.5,55.776672 19.5,55.776672 18.5))",UTC-HGS-TOPO,POINT(-12 19),"POLYGON((-12.5 18.5,-11.5 18.5,-11.5 19.5,-12.5 19.5,-12.5 18.5))",2010-10-25 05:58:00,True,,11117,-11.5,19.5,-12.5,18.5,235.317,-190.4232,19,-12,302.71287648073377,1
172,172,2010-10-30 07:14:00,2010-10-30 07:33:00,B2.1,POINT(-744.438 531.357),"POLYGON((-751.284 524.8212,-746.574 523.8126,-737.502 537.8598,-742.152 538.8552,-751.284 524.8212))",POINT(0.947165719518748 54.4819187835908),"POLYGON((0.949053 55.063173,0.944458 54.945663,0.945281 53.896749,0.949781 54.017679,0.949053 55.063173))",POINT(-68.3839817 35),"POLYGON((-68.883982 34.5,-67.883982 34.5,-67.883982 35.5,-68.883982 35.5,-68.883982 34.5))",UTC-HGS-TOPO,POINT(-70 35),"POLYGON((-70.5 34.5,-69.5 34.5,-69.5 35.5,-70.5 35.5,-70.5 34.5))",2010-10-30 07:28:00,True,,11120,-69.5,35.5,-70.5,34.5,531.357,-744.438,35,-70,914.6191542347011,1
96,96,2017-04-22 14:52:00,2017-04-22 15:01:00,B2.1,POINT(-320.443608 274.654698),"POLYGON((-328.709628 266.394174,-313.324368 266.886684,-312.157032 282.887448,-327.485004 282.396342,-328.709628 266.394174))",POINT(0.44245531448627 49.3998651317619),"POLYGON((0.443567 50.977861,0.431491 49.575962,0.441645 47.816047,0.453344 49.228197,0.443567 50.977861))",POINT(72.647238 12),"POLYGON((72.147238 11.5,73.147238 11.5,73.147238 12.5,72.147238 12.5,72.147238 11.5))",UTC-HGS-TOPO,POINT(-20 12),"POLYGON((-20.5 11.5,-19.5 11.5,-19.5 12.5,-20.5 12.5,-20.5 11.5))",2017-04-22 14:58:00,True,,12651,-19.5,12.5,-20.5,11.5,274.654698,-320.443608,12,-20,422.04183328377394,1
15,15,2018-02-07 23:32:00,2018-02-07 23:37:00,B2.1,POINT(-608.10294 -50.4029706),"POLYGON((-613.8399 -59.481797,-600.78132 -58.291538,-602.25666 -41.324792,-615.34722 -42.518842,-613.8399 -59.481797))",POINT(0.627644298069588 94.7381638338761),"POLYGON((0.634358 95.534747,0.62087 95.541846,0.620942 93.925288,0.63446 93.952702,0.634358 95.534747))",POINT(166.91693 -8),"POLYGON((166.41693 -8.5,167.41693 -8.5,167.41693 -7.5,166.41693 -7.5,166.41693 -8.5))",UTC-HGS-TOPO,POINT(-39 -8),"POLYGON((-39.5 -8.5,-38.5 -8.5,-38.5 -7.5,-39.5 -7.5,-39.5 -8.5))",2018-02-07 23:35:00,True,,12699,-38.5,-7.5,-39.5,-8.5,-50.4029706,-608.10294,-8,-39,610.1882046401324,1
33,33,2018-04-03 03:56:00,2018-04-03 04:15:00,B2.1,POINT(-370.692402 -68.325234),"POLYGON((-377.695878 -77.064522,-362.48979 -76.34274,-363.608544 -59.586737,-378.861528 -60.311268,-377.695878 -77.064522))",POINT(0.392960958453556 100.443423730015),"POLYGON((0.401865 101.532251,0.38619 101.893062,0.384123 99.306684,0.399941 99.045065,0.401865 101.532251))",POINT(-171.06061 -10),"POLYGON((-171.56061 -10.5,-170.56061 -10.5,-170.56061 -9.5,-171.56061 -9.5,-171.56061 -10.5))",UTC-HGS-TOPO,POINT(-23 -10),"POLYGON((-23.5 -10.5,-22.5 -10.5,-22.5 -9.5,-23.5 -9.5,-23.5 -10.5))",2018-04-03 04:05:00,True,,12703,-22.5,-9.5,-23.5,-10.5,-68.325234,-370.692402,-10,-23,376.93659215003834,1
38,38,2018-04-24 21:37:00,2018-04-24 21:52:00,B2.1,POINT(-295.729122 109.20765),"POLYGON((-303.738912 100.685436,-287.856912 101.118516,-287.678802 117.715692,-303.55098 117.282468,-303.738912 100.685436))",POINT(0.330658757284445 69.7316839028947),"POLYGON((0.335633 71.660323,0.320014 70.64462,0.326025 67.746044,0.341327 68.87505,0.335633 71.660323))",POINT(-93.04403 2),"POLYGON((-93.54403 1.5,-92.54403 1.5,-92.54403 2.5,-93.54403 2.5,-93.54403 1.5))",UTC-HGS-TOPO,POINT(-18 2),"POLYGON((-18.5 1.5,-17.5 1.5,-17.5 2.5,-18.5 2.5,-18.5 1.5))",2018-04-24 21:45:00,True,,12706,-17.5,2.5,-18.5,1.5,109.20765,-295.729122,2,-18,315.24914657682007,1
