,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
522,522,2011-10-02 00:37:00,2011-10-02 00:59:00,M3.9,POINT(197.6046 41.15808),"POLYGON((189.741 32.57256,205.9848 32.9745,205.416 49.74804,189.2166 49.34748,189.741 32.57256))",POINT(0.210717066814075 281.765636442269),"POLYGON((0.200978 279.740935,0.217776 279.094869,0.220644 283.61388,0.20414 284.617083,0.200978 279.740935))",POINT(-110.9632 9),"POLYGON((-111.4632 8.5,-110.4632 8.5,-110.4632 9.5,-111.4632 9.5,-111.4632 8.5))",UTC-HGS-TOPO,POINT(12 9),"POLYGON((11.5 8.5,12.5 8.5,12.5 9.5,11.5 9.5,11.5 8.5))",2011-10-02 00:50:00,True,,11305,12.5,9.5,11.5,8.5,41.15808,197.6046,9,12,201.84539997346087,1
809,809,2015-11-09 12:49:00,2015-11-09 13:28:00,M3.9,POINT(-625.584 -229.2948),"POLYGON((-630.726 -237.171,-618.222 -237.8544,-620.334 -221.3982,-632.88 -220.7136,-630.726 -237.171))",POINT(0.688252257525328 110.129360038986),"POLYGON((0.696064 110.607695,0.684242 111.043704,0.680378 109.641564,0.692364 109.225951,0.696064 110.607695))",POINT(-155.29754 -11),"POLYGON((-155.79754 -11.5,-154.79754 -11.5,-154.79754 -10.5,-155.79754 -10.5,-155.79754 -11.5))",UTC-HGS-TOPO,POINT(-41 -11),"POLYGON((-41.5 -11.5,-40.5 -11.5,-40.5 -10.5,-41.5 -10.5,-41.5 -11.5))",2015-11-09 13:12:00,True,,12449,-40.5,-10.5,-41.5,-11.5,-229.2948,-625.584,-11,-41,666.2818070179013,1
415,415,2014-06-11 20:53:00,2014-06-11 21:10:00,M3.9,POINT(-749.442 -344.2458),"POLYGON((-750.918 -351.843,-742.818 -352.005,-747.828 -336.6216,-755.976 -336.459,-750.918 -351.843))",POINT(0.873213530792431 114.671029095099),"POLYGON((0.878016 115.105463,0.870331 115.355237,0.868316 114.234053,0.87612 113.992207,0.878016 115.105463))",POINT(155.92574 -21),"POLYGON((155.42574 -21.5,156.42574 -21.5,156.42574 -20.5,155.42574 -20.5,155.42574 -21.5))",UTC-HGS-TOPO,POINT(-58 -21),"POLYGON((-58.5 -21.5,-57.5 -21.5,-57.5 -20.5,-58.5 -20.5,-58.5 -21.5))",2014-06-11 21:03:00,True,,12087,-57.5,-20.5,-58.5,-21.5,-344.2458,-749.442,-21,-58,824.7232761245676,1
