,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
501,501,2011-09-26 07:45:00,2011-09-26 07:52:00,C8.8,POINT(-509.4894 119.6832),"POLYGON((-517.3272 111.9234,-503.6292 110.853,-501.6012 127.4436,-515.244 128.5092,-517.3272 111.9234))",POINT(0.547255402200525 76.780437430455),"POLYGON((0.553465 77.792245,0.539232 77.586659,0.54117 75.7443,0.555276 75.995347,0.553465 77.792245))",POINT(-80.70611 13),"POLYGON((-81.20611 12.5,-80.20611 12.5,-80.20611 13.5,-81.20611 13.5,-81.20611 12.5))",UTC-HGS-TOPO,POINT(-33 13),"POLYGON((-33.5 12.5,-32.5 12.5,-32.5 13.5,-33.5 13.5,-33.5 12.5))",2011-09-26 07:50:00,True,,11302,-32.5,13.5,-33.5,12.5,119.6832,-509.4894,13,-33,523.357924440435,1
593,593,2011-11-06 09:52:00,2011-11-06 09:59:00,C8.8,POINT(-425.6838 293.283),"POLYGON((-434.0832 285.4476,-420.0792 284.955,-417.2652 301.1016,-431.1756 301.59,-434.0832 285.4476))",POINT(0.534367973243477 55.4343573783776),"POLYGON((0.537048 56.671588,0.524727 55.849528,0.531913 54.18551,0.543928 55.028758,0.537048 56.671588))",POINT(102.30688 21),"POLYGON((101.80688 20.5,102.80688 20.5,102.80688 21.5,101.80688 21.5,101.80688 20.5))",UTC-HGS-TOPO,POINT(-28 21),"POLYGON((-28.5 20.5,-27.5 20.5,-27.5 21.5,-28.5 21.5,-28.5 20.5))",2011-11-06 09:56:00,True,,11339,-27.5,21.5,-28.5,20.5,293.283,-425.6838,21,-28,516.9348272958981,1
661,661,2015-09-21 05:11:00,2015-09-21 05:22:00,C8.8,POINT(-929.232 109.7202),"POLYGON((-931.842 102.4896,-928.758 100.4928,-926.49 116.9466,-929.562 118.9374,-931.842 102.4896))",POINT(0.9797551896202 83.2659110904745),"POLYGON((0.981613 83.723492,0.978176 83.824549,0.977823 82.805862,0.981276 82.708626,0.981613 83.723492))",POINT(97.27018 8),"POLYGON((96.77018 7.5,97.77018 7.5,97.77018 8.5,96.77018 8.5,96.77018 7.5))",UTC-HGS-TOPO,POINT(-79 8),"POLYGON((-79.5 7.5,-78.5 7.5,-78.5 8.5,-79.5 8.5,-79.5 7.5))",2015-09-21 05:18:00,True,,12420,-78.5,8.5,-79.5,7.5,109.7202,-929.232,8,-79,935.687251228764,1
723,723,2015-10-02 15:26:00,2015-10-02 15:37:00,C8.8,POINT(861.936 -356.4192),"POLYGON((856.86 -364.9998,861.384 -363.2334,866.886 -347.8038,862.338 -349.5804,856.86 -364.9998))",POINT(0.973490009693618 247.534413745424),"POLYGON((0.972071 246.927272,0.975699 247.135538,0.974882 248.138823,0.971174 247.933018,0.972071 246.927272))",POINT(98.461317 -20),"POLYGON((97.961317 -20.5,98.961317 -20.5,98.961317 -19.5,97.961317 -19.5,97.961317 -20.5))",UTC-HGS-TOPO,POINT(73 -20),"POLYGON((72.5 -20.5,73.5 -20.5,73.5 -19.5,72.5 -19.5,72.5 -20.5))",2015-10-02 15:32:00,True,,12422,73.5,-19.5,72.5,-20.5,-356.4192,861.936,-20,73,932.7209197957553,1
444,444,2012-07-08 17:29:00,2012-07-08 17:47:00,C8.8,POINT(-675.756 -299.7396),"POLYGON((-679.284 -307.152,-668.73 -307.9338,-672.102 -292.3026,-682.71 -291.5172,-679.284 -307.152))",POINT(0.783713477876311 113.920248786875),"POLYGON((0.790339 114.331067,0.780504 114.724914,0.776996 113.504612,0.786994 113.122484,0.790339 114.331067))",POINT(85.51594 -16),"POLYGON((85.01594 -16.5,86.01594 -16.5,86.01594 -15.5,85.01594 -15.5,85.01594 -16.5))",UTC-HGS-TOPO,POINT(-48 -16),"POLYGON((-48.5 -16.5,-47.5 -16.5,-47.5 -15.5,-48.5 -15.5,-48.5 -16.5))",2012-07-08 17:34:00,True,,11520,-47.5,-15.5,-48.5,-16.5,-299.7396,-675.756,-16,-48,739.249619103155,1
506,506,2012-07-30 13:55:00,2012-07-30 14:05:00,C8.8,POINT(-302.8068 -420.75),"POLYGON((-308.9958 -427.8678,-294.5328 -428.4018,-296.523 -413.595,-311.0832 -413.0586,-308.9958 -427.8678))",POINT(0.548733352666773 144.258060374625),"POLYGON((0.558676 144.164093,0.550319 145.490881,0.538701 144.361729,0.547371 143.01582,0.558676 144.164093))",POINT(-175.59617 -21),"POLYGON((-176.09617 -21.5,-175.09617 -21.5,-175.09617 -20.5,-176.09617 -20.5,-176.09617 -21.5))",UTC-HGS-TOPO,POINT(-20 -21),"POLYGON((-20.5 -21.5,-19.5 -21.5,-19.5 -20.5,-20.5 -20.5,-20.5 -21.5))",2012-07-30 14:03:00,True,,11532,-19.5,-20.5,-20.5,-21.5,-420.75,-302.8068,-21,-20,518.3845296941644,1
581,581,2013-10-26 17:04:00,2013-10-26 17:26:00,C8.8,POINT(430.1448 -272.6562),"POLYGON((421.9638 -281.0694,436.6542 -280.4202,438.2868 -264.216,423.5418 -264.867,421.9638 -281.0694))",POINT(0.527870091376554 237.630585868146),"POLYGON((0.525512 236.332481,0.537887 237.291342,0.530448 238.916824,0.517777 237.979699,0.525512 236.332481))",POINT(10.09279 -12),"POLYGON((9.59279 -12.5,10.59279 -12.5,10.59279 -11.5,9.59279 -11.5,9.59279 -12.5))",UTC-HGS-TOPO,POINT(27 -12),"POLYGON((26.5 -12.5,27.5 -12.5,27.5 -11.5,26.5 -11.5,26.5 -12.5))",2013-10-26 17:15:00,True,,11877,27.5,-11.5,26.5,-12.5,-272.6562,430.1448,-12,27,509.2798369909023,1
719,719,2013-12-22 18:55:00,2013-12-22 19:17:00,C8.8,POINT(801.036 -269.7006),"POLYGON((794.676 -277.662,802.998 -278.1024,807.3 -261.7206,798.936 -261.2766,794.676 -277.662))",POINT(0.866983685779678 251.392148824263),"POLYGON((0.863463 250.740444,0.871673 250.897489,0.870516 252.037695,0.862218 251.890666,0.863463 250.740444))",POINT(9.79183999999998 -17),"POLYGON((9.29184 -17.5,10.29184 -17.5,10.29184 -16.5,9.29184 -16.5,9.29184 -17.5))",UTC-HGS-TOPO,POINT(59 -17),"POLYGON((58.5 -17.5,59.5 -17.5,59.5 -16.5,58.5 -16.5,58.5 -17.5))",2013-12-22 19:09:00,True,,11928,59.5,-16.5,58.5,-17.5,-269.7006,801.036,-17,59,845.220141109025,1
