,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
92,92,2011-03-14 10:36:00,2011-03-14 10:51:00,B8.7,POINT(619.218 366.735),"POLYGON((614.832 359.6274,626.832 358.2528,623.478 373.8114,611.544 375.1794,614.832 359.6274))",POINT(0.746033381957665 300.636353300637),"POLYGON((0.738378 300.32421,0.748434 299.749228,0.753582 300.945144,0.74374 301.528922,0.738378 300.32421))",POINT(63.303615 17),"POLYGON((62.803615 16.5,63.803615 16.5,63.803615 17.5,62.803615 17.5,62.803615 16.5))",UTC-HGS-TOPO,POINT(42 17),"POLYGON((41.5 16.5,42.5 16.5,42.5 17.5,41.5 17.5,41.5 16.5))",2011-03-14 10:42:00,True,,11169,42.5,17.5,41.5,16.5,366.735,619.218,17,42,719.6704049417344,1
536,536,2011-10-06 23:31:00,2011-10-06 23:39:00,B8.7,POINT(928.188 163.7208),"POLYGON((928.29 154.608,931.08 156.4128,927.93 172.8186,925.152 171.021,928.29 154.608))",POINT(0.982512244826948 280.003365251014),"POLYGON((0.981012 279.455896,0.984191 279.536119,0.98394 280.549953,0.98075 280.473306,0.981012 279.455896))",POINT(-108.33135 11),"POLYGON((-108.83135 10.5,-107.83135 10.5,-107.83135 11.5,-108.83135 11.5,-108.83135 10.5))",UTC-HGS-TOPO,POINT(80 11),"POLYGON((79.5 10.5,80.5 10.5,80.5 11.5,79.5 11.5,79.5 10.5))",2011-10-06 23:37:00,True,,11305,80.5,11.5,79.5,10.5,163.7208,928.188,11,80,942.516558844798,1
640,640,2011-11-28 01:13:00,2011-11-28 01:29:00,B8.7,POINT(-928.344 146.4666),"POLYGON((-931.692 138.2496,-927.42 137.8878,-924.858 154.6746,-929.118 155.034,-931.692 138.2496))",POINT(0.96701748306311 81.0342401555509),"POLYGON((0.969143 81.559723,0.964741 81.543276,0.964832 80.505638,0.969216 80.526818,0.969143 81.559723))",POINT(130.04516 9),"POLYGON((129.54516 8.5,130.54516 8.5,130.54516 9.5,129.54516 9.5,129.54516 8.5))",UTC-HGS-TOPO,POINT(-75 9),"POLYGON((-75.5 8.5,-74.5 8.5,-74.5 9.5,-75.5 9.5,-75.5 8.5))",2011-11-28 01:17:00,True,,11362,-74.5,9.5,-75.5,8.5,146.4666,-928.344,9,-75,939.8271368988871,1
123,123,2015-02-12 04:05:00,2015-02-12 04:10:00,B8.7,POINT(-423.4746 235.8054),"POLYGON((-431.5434 227.1114,-416.3868 227.9802,-415.3584 244.4724,-430.4778 243.6054,-431.5434 227.1114))",POINT(0.498910797238278 60.8894170412803),"POLYGON((0.501954 62.243196,0.488631 61.298403,0.496094 59.519707,0.509127 60.494679,0.501954 62.243196))",POINT(-169.38255 8),"POLYGON((-169.88255 7.5,-168.88255 7.5,-168.88255 8.5,-169.88255 8.5,-169.88255 7.5))",UTC-HGS-TOPO,POINT(-26 8),"POLYGON((-26.5 7.5,-25.5 7.5,-25.5 8.5,-26.5 8.5,-26.5 7.5))",2015-02-12 04:08:00,True,,12282,-25.5,8.5,-26.5,7.5,235.8054,-423.4746,8,-26,484.7008598242013,1
127,127,2015-02-18 16:17:00,2015-02-18 16:24:00,B8.7,POINT(-926.826 -120.7728),"POLYGON((-927.606 -130.0962,-923.352 -128.1498,-925.902 -111.4386,-930.168 -113.3922,-927.606 -130.0962))",POINT(0.963334479524382 97.4242626873531),"POLYGON((0.965419 97.983626,0.9608 97.901469,0.961193 96.862925,0.9658 96.950352,0.965419 97.983626))",POINT(55.91603 -9),"POLYGON((55.41603 -9.5,56.41603 -9.5,56.41603 -8.5,55.41603 -8.5,55.41603 -9.5))",UTC-HGS-TOPO,POINT(-75 -9),"POLYGON((-75.5 -9.5,-74.5 -9.5,-74.5 -8.5,-75.5 -8.5,-75.5 -9.5))",2015-02-18 16:21:00,True,,12289,-74.5,-8.5,-75.5,-9.5,-120.7728,-926.826,-9,-75,934.6617053757152,1
197,197,2015-03-16 08:18:00,2015-03-16 08:28:00,B8.7,POINT(556.9314 -188.7222),"POLYGON((548.9814 -196.3776,561.8196 -197.5752,564.8304 -181.0632,551.9238 -179.859,548.9814 -196.3776))",POINT(0.609930307389806 251.280496745338),"POLYGON((0.604754 250.317227,0.61772 250.624747,0.615224 252.226121,0.602102 251.950428,0.604754 250.317227))",POINT(-170.22362 -17),"POLYGON((-170.72362 -17.5,-169.72362 -17.5,-169.72362 -16.5,-170.72362 -16.5,-170.72362 -17.5))",UTC-HGS-TOPO,POINT(37 -17),"POLYGON((36.5 -17.5,37.5 -17.5,37.5 -16.5,36.5 -16.5,36.5 -17.5))",2015-03-16 08:23:00,True,,12297,37.5,-16.5,36.5,-17.5,-188.7222,556.9314,-17,37,588.0379690792083,1
253,253,2015-04-11 09:41:00,2015-04-11 09:46:00,B8.7,POINT(-663.702 329.244),"POLYGON((-670.908 320.7816,-659.73 321.9972,-656.424 337.6734,-667.542 336.4632,-670.908 320.7816))",POINT(0.774165216582371 63.6152763324382),"POLYGON((0.777063 64.446113,0.767098 63.98419,0.771349 62.778096,0.781128 63.250388,0.777063 64.446113))",POINT(123.07228 16),"POLYGON((122.57228 15.5,123.57228 15.5,123.57228 16.5,122.57228 16.5,122.57228 15.5))",UTC-HGS-TOPO,POINT(-46 16),"POLYGON((-46.5 15.5,-45.5 15.5,-45.5 16.5,-46.5 16.5,-46.5 15.5))",2015-04-11 09:44:00,True,,12322,-45.5,16.5,-46.5,15.5,329.244,-663.702,16,-46,740.8791779635867,1
637,637,2015-09-15 00:18:00,2015-09-15 00:23:00,B8.7,POINT(-380.0304 -427.0122),"POLYGON((-385.8702 -434.0226,-371.7048 -434.8662,-374.0862 -419.9634,-388.3428 -419.1144,-385.8702 -434.0226))",POINT(0.599580463707527 138.331700402567),"POLYGON((0.609146 138.361127,0.600049 139.477611,0.589913 138.306659,0.599309 137.182444,0.609146 138.361127))",POINT(-126.83638 -20),"POLYGON((-127.33638 -20.5,-126.33638 -20.5,-126.33638 -19.5,-127.33638 -19.5,-127.33638 -20.5))",UTC-HGS-TOPO,POINT(-25 -20),"POLYGON((-25.5 -20.5,-24.5 -20.5,-24.5 -19.5,-25.5 -19.5,-25.5 -20.5))",2015-09-15 00:21:00,True,,12415,-24.5,-19.5,-25.5,-20.5,-427.0122,-380.0304,-20,-25,571.6314580855396,1
825,825,2015-11-30 08:37:00,2015-11-30 09:02:00,B8.7,POINT(376.8606 136.797),"POLYGON((369.6024 128.2986,385.1064 128.4126,384.039 145.2858,368.5782 145.1724,369.6024 128.2986))",POINT(0.412334226079432 289.950440765528),"POLYGON((0.402375 289.143217,0.417508 288.440813,0.422291 290.722132,0.407415 291.49806,0.402375 289.143217))",POINT(-5.80734999999999 9),"POLYGON((-6.30735 8.5,-5.30735 8.5,-5.30735 9.5,-6.30735 9.5,-6.30735 8.5))",UTC-HGS-TOPO,POINT(23 9),"POLYGON((22.5 8.5,23.5 8.5,23.5 9.5,22.5 9.5,22.5 8.5))",2015-11-30 08:50:00,True,,12458,23.5,9.5,22.5,8.5,136.797,376.8606,9,23,400.9206044110978,1
66,66,2016-02-22 20:43:00,2016-02-22 20:59:00,B8.7,POINT(-957.50052 -104.905206),"POLYGON((-957.24474 -114.277584,-955.56714 -112.228596,-957.60858 -95.52291,-959.28966 -97.577622,-957.24474 -114.277584))",POINT(0.993566849496234 96.2524742326236),"POLYGON((0.994404 96.807852,0.992437 96.698537,0.99267 95.696497,0.994608 95.808071,0.994404 96.807852))",POINT(-145.75915 -7),"POLYGON((-146.25915 -7.5,-145.25915 -7.5,-145.25915 -6.5,-146.25915 -6.5,-146.25915 -7.5))",UTC-HGS-TOPO,POINT(-84 -7),"POLYGON((-84.5 -7.5,-83.5 -7.5,-83.5 -6.5,-84.5 -6.5,-84.5 -7.5))",2016-02-22 20:55:00,True,,12506,-83.5,-6.5,-84.5,-7.5,-104.905206,-957.50052,-7,-84,963.2301635882116,1
