,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
13,13,2011-02-08 21:06:00,2011-02-08 21:14:00,C4.0,POINT(874.758 318.837),"POLYGON((874.284 311.7294,879.786 309.9726,875.094 325.9218,869.616 327.6702,874.284 311.7294))",POINT(0.957779486535516 290.026087473054),"POLYGON((0.954841 289.623893,0.959572 289.408751,0.960624 290.427446,0.955977 290.646345,0.954841 289.623893))",POINT(173.38036 17),"POLYGON((172.88036 16.5,173.88036 16.5,173.88036 17.5,172.88036 17.5,172.88036 16.5))",UTC-HGS-TOPO,POINT(70 17),"POLYGON((69.5 16.5,70.5 16.5,70.5 17.5,69.5 17.5,69.5 16.5))",2011-02-08 21:12:00,True,,11153,70.5,17.5,69.5,16.5,318.837,874.758,17,70,931.0524105188707,1
28,28,2011-02-18 14:27:00,2011-02-18 14:35:00,C4.0,POINT(757.932 -268.3932),"POLYGON((751.038 -275.7108,759.888 -277.29,764.736 -261.0654,755.832 -259.4748,751.038 -275.7108))",POINT(0.828641167698774 250.500308849777),"POLYGON((0.824516 249.841495,0.83364 249.952517,0.832784 251.151133,0.823571 251.052812,0.824516 249.841495))",POINT(31.35249 -20),"POLYGON((30.85249 -20.5,31.85249 -20.5,31.85249 -19.5,30.85249 -19.5,30.85249 -20.5))",UTC-HGS-TOPO,POINT(56 -20),"POLYGON((55.5 -20.5,56.5 -20.5,56.5 -19.5,55.5 -19.5,55.5 -20.5))",2011-02-18 14:32:00,True,,11158,56.5,-19.5,55.5,-20.5,-268.3932,757.932,-20,56,804.0496417698598,1
90,90,2011-03-14 00:13:00,2011-03-14 00:31:00,C4.0,POINT(848.232 220.662),"POLYGON((845.736 213.4302,853.23 211.5582,850.596 227.8752,843.12 229.7424,845.736 213.4302))",POINT(0.908466309462012 284.581914650657),"POLYGON((0.904099 284.163453,0.911164 283.925632,0.912744 284.997404,0.905768 285.242504,0.904099 284.163453))",POINT(90.005532 10),"POLYGON((89.505532 9.5,90.505532 9.5,90.505532 10.5,89.505532 10.5,89.505532 9.5))",UTC-HGS-TOPO,POINT(63 10),"POLYGON((62.5 9.5,63.5 9.5,63.5 10.5,62.5 10.5,62.5 9.5))",2011-03-14 00:20:00,True,,11166,63.5,10.5,62.5,9.5,220.662,848.232,10,63,876.4640574878126,1
158,158,2011-04-20 19:30:00,2011-04-20 19:49:00,C4.0,POINT(-757.572 -298.8714),"POLYGON((-759.066 -307.3506,-750.882 -306.183,-755.934 -290.3676,-764.172 -291.5442,-759.066 -307.3506))",POINT(0.853181919236319 111.529839418534),"POLYGON((0.857932 112.043335,0.849529 112.183889,0.848351 111.012664,0.856851 110.882676,0.857932 112.043335))",POINT(-169.73693 -21),"POLYGON((-170.23693 -21.5,-169.23693 -21.5,-169.23693 -20.5,-170.23693 -20.5,-170.23693 -21.5))",UTC-HGS-TOPO,POINT(-58 -21),"POLYGON((-58.5 -21.5,-57.5 -21.5,-57.5 -20.5,-58.5 -20.5,-58.5 -21.5))",2011-04-20 19:39:00,True,,11195,-57.5,-20.5,-58.5,-21.5,-298.8714,-757.572,-21,-58,814.3951429877022,1
317,317,2011-08-01 07:19:00,2011-08-01 07:44:00,C4.0,POINT(-80.256 136.2156),"POLYGON((-88.4466 128.0892,-72.4026 127.9488,-72.0876 144.339,-88.0614 144.4782,-88.4466 128.0892))",POINT(0.167349750102891 30.5058952799822),"POLYGON((0.164765 34.625384,0.155615 29.504292,0.170778 26.539037,0.179099 31.362868,0.164765 34.625384))",POINT(-32.63454 14),"POLYGON((-33.13454 13.5,-32.13454 13.5,-32.13454 14.5,-33.13454 14.5,-33.13454 13.5))",UTC-HGS-TOPO,POINT(-5 14),"POLYGON((-5.5 13.5,-4.5 13.5,-4.5 14.5,-5.5 14.5,-5.5 13.5))",2011-08-01 07:32:00,True,,11261,-4.5,14.5,-5.5,13.5,136.2156,-80.256,14,-5,158.10033276169915,1
471,471,2011-09-22 20:14:00,2011-09-22 20:33:00,C4.0,POINT(753.102 298.3452),"POLYGON((751.602 289.6428,759.798 291.2424,754.452 307.0236,746.316 305.436,751.602 289.6428))",POINT(0.84784923517089 291.611247372317),"POLYGON((0.843072 291.075029,0.85168 290.972606,0.852545 292.143824,0.844033 292.257238,0.843072 291.075029))",POINT(56.22251 22),"POLYGON((55.72251 21.5,56.72251 21.5,56.72251 22.5,55.72251 22.5,55.72251 21.5))",UTC-HGS-TOPO,POINT(58 22),"POLYGON((57.5 21.5,58.5 21.5,58.5 22.5,57.5 22.5,57.5 21.5))",2011-09-22 20:20:00,True,,11295,58.5,22.5,57.5,21.5,298.3452,753.102,22,58,810.0447399786261,1
694,694,2011-12-27 09:17:00,2011-12-27 09:26:00,C4.0,POINT(652.374 -339.7872),"POLYGON((644.556 -347.5446,655.476 -347.9994,660.126 -332.0076,649.128 -331.5486,644.556 -347.5446))",POINT(0.754361367589055 242.487370425653),"POLYGON((0.751002 241.666453,0.761097 242.035677,0.757803 243.300082,0.74753 242.943874,0.751002 241.666453))",POINT(-135.48152 -22),"POLYGON((-135.98152 -22.5,-134.98152 -22.5,-134.98152 -21.5,-135.98152 -21.5,-135.98152 -22.5))",UTC-HGS-TOPO,POINT(46 -22),"POLYGON((45.5 -22.5,46.5 -22.5,46.5 -21.5,45.5 -21.5,45.5 -22.5))",2011-12-27 09:23:00,True,,11387,46.5,-21.5,45.5,-22.5,-339.7872,652.374,-22,46,735.5590915486259,1
699,699,2011-12-28 20:18:00,2011-12-28 20:40:00,C4.0,POINT(-113.5368 -260.9418),"POLYGON((-121.2504 -269.2128,-105.1596 -269.127,-105.7596 -252.6534,-121.9428 -252.7404,-121.2504 -269.2128))",POINT(0.291829037772924 156.48595320826),"POLYGON((0.302787 155.753737,0.296311 158.657255,0.28088 157.286029,0.287777 154.243508,0.302787 155.753737))",POINT(152.30065 -18),"POLYGON((151.80065 -18.5,152.80065 -18.5,152.80065 -17.5,151.80065 -17.5,151.80065 -18.5))",UTC-HGS-TOPO,POINT(-7 -18),"POLYGON((-7.5 -18.5,-6.5 -18.5,-6.5 -17.5,-7.5 -17.5,-7.5 -18.5))",2011-12-28 20:31:00,True,,11386,-6.5,-17.5,-7.5,-18.5,-260.9418,-113.5368,-18,-7,284.5720083590092,1
156,156,2015-03-09 10:02:00,2015-03-09 10:16:00,C4.0,POINT(-720.174 -156.3402),"POLYGON((-723.786 -165.4266,-713.31 -163.8558,-716.424 -147.2436,-726.948 -148.8228,-723.786 -165.4266))",POINT(0.76292681704945 102.248107922084),"POLYGON((0.768623 102.874234,0.757688 102.937086,0.757182 101.614033,0.768183 101.569881,0.768623 102.874234))",POINT(-165.92539 -14),"POLYGON((-166.42539 -14.5,-165.42539 -14.5,-165.42539 -13.5,-166.42539 -13.5,-166.42539 -14.5))",UTC-HGS-TOPO,POINT(-50 -14),"POLYGON((-50.5 -14.5,-49.5 -14.5,-49.5 -13.5,-50.5 -13.5,-50.5 -14.5))",2015-03-09 10:08:00,True,,12297,-49.5,-13.5,-50.5,-14.5,-156.3402,-720.174,-14,-50,736.9483349679541,1
718,718,2015-10-02 06:19:00,2015-10-02 06:30:00,C4.0,POINT(867.198 -340.9776),"POLYGON((862.242 -349.6182,866.796 -347.8368,872.034 -332.304,867.456 -334.095,862.242 -349.6182))",POINT(0.972658960114439 248.53551415606),"POLYGON((0.971199 247.92864,0.974912 248.134889,0.974098 249.139772,0.970304 248.936136,0.971199 247.92864))",POINT(103.473712 -19),"POLYGON((102.973712 -19.5,103.973712 -19.5,103.973712 -18.5,102.973712 -18.5,102.973712 -19.5))",UTC-HGS-TOPO,POINT(73 -19),"POLYGON((72.5 -19.5,73.5 -19.5,73.5 -18.5,72.5 -18.5,72.5 -19.5))",2015-10-02 06:24:00,True,,12422,73.5,-18.5,72.5,-19.5,-340.9776,867.198,-19,73,931.8251418081398,1
