,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
148,148,2011-04-16 05:26:00,2011-04-16 05:45:00,C3.5,POINT(511.0542 274.6272),"POLYGON((505.0992 267.0456,518.8374 266.1696,516.9048 282.183,503.2182 283.056,505.0992 267.0456))",POINT(0.607028369061784 298.252424788424),"POLYGON((0.597799 297.865378,0.610124 297.158349,0.616176 298.630525,0.604093 299.357387,0.597799 297.865378))",POINT(-18.17206 12),"POLYGON((-18.67206 11.5,-17.67206 11.5,-17.67206 12.5,-18.67206 12.5,-18.67206 11.5))",UTC-HGS-TOPO,POINT(33 12),"POLYGON((32.5 11.5,33.5 11.5,33.5 12.5,32.5 12.5,32.5 11.5))",2011-04-16 05:38:00,True,,11190,33.5,12.5,32.5,11.5,274.6272,511.0542,12,33,580.169366924418,1
220,220,2011-05-30 05:46:00,2011-05-30 05:51:00,C3.5,POINT(-707.196 -331.1814),"POLYGON((-709.38 -339.012,-700.152 -338.8314,-704.874 -323.325,-714.162 -323.5074,-709.38 -339.012))",POINT(0.825448936882064 115.093793350319),"POLYGON((0.831076 115.543089,0.822202 115.824186,0.81973 114.640876,0.828743 114.369995,0.831076 115.543089))",POINT(33.95728 -21),"POLYGON((33.45728 -21.5,34.45728 -21.5,34.45728 -20.5,33.45728 -20.5,33.45728 -21.5))",UTC-HGS-TOPO,POINT(-53 -21),"POLYGON((-53.5 -21.5,-52.5 -21.5,-52.5 -20.5,-53.5 -20.5,-53.5 -21.5))",2011-05-30 05:49:00,True,,11226,-52.5,-20.5,-53.5,-21.5,-331.1814,-707.196,-21,-53,780.9015956712858,1
338,338,2011-08-04 07:56:00,2011-08-04 08:06:00,C3.5,POINT(573.7674 186.1446),"POLYGON((568.977 177.5244,581.346 178.5624,578.4384 194.7534,566.1312 193.7214,568.977 177.5244))",POINT(0.638240772083852 287.974368931111),"POLYGON((0.630645 287.32825,0.643472 287.074518,0.645792 288.607774,0.63311 288.890159,0.630645 287.32825))",POINT(-28.64961 16),"POLYGON((-29.14961 15.5,-28.14961 15.5,-28.14961 16.5,-29.14961 16.5,-29.14961 15.5))",UTC-HGS-TOPO,POINT(39 16),"POLYGON((38.5 15.5,39.5 15.5,39.5 16.5,38.5 16.5,38.5 15.5))",2011-08-04 08:02:00,True,,11261,39.5,16.5,38.5,15.5,186.1446,573.7674,16,39,603.2071297754362,1
571,571,2011-10-19 20:31:00,2011-10-19 20:39:00,C3.5,POINT(624.438 363.2652),"POLYGON((621.78 354.951,632.316 355.9872,626.946 371.5512,616.5 370.524,621.78 354.951))",POINT(0.75031475052926 300.188594180104),"POLYGON((0.743611 299.720433,0.753661 299.37905,0.756919 300.652538,0.747055 301.006379,0.743611 299.720433))",POINT(47.8265317 26),"POLYGON((47.326532 25.5,48.326532 25.5,48.326532 26.5,47.326532 26.5,47.326532 25.5))",UTC-HGS-TOPO,POINT(46 26),"POLYGON((45.5 25.5,46.5 25.5,46.5 26.5,45.5 26.5,45.5 25.5))",2011-10-19 20:37:00,True,,11314,46.5,26.5,45.5,25.5,363.2652,624.438,26,46,722.415684613118,1
18,18,2015-01-05 08:19:00,2015-01-05 08:25:00,C3.5,POINT(33.7764 -94.4124),"POLYGON((25.29852 -102.9042,42.15546 -102.9396,42.27252 -85.9182,25.36872 -85.8828,25.29852 -102.9042))",POINT(0.102815311044626 199.684865478357),"POLYGON((0.108656 193.811985,0.114058 202.269907,0.098183 206.197597,0.091822 196.456491,0.108656 193.811985))",POINT(-3.35286000000002 -9),"POLYGON((-3.85286 -9.5,-2.85286 -9.5,-2.85286 -8.5,-3.85286 -8.5,-3.85286 -9.5))",UTC-HGS-TOPO,POINT(2 -9),"POLYGON((1.5 -9.5,2.5 -9.5,2.5 -8.5,1.5 -8.5,1.5 -9.5))",2015-01-05 08:22:00,True,,12253,2.5,-8.5,1.5,-9.5,-94.4124,33.7764,-9,2,100.27236144980328,1
129,129,2015-02-18 21:53:00,2015-02-18 22:13:00,C3.5,POINT(828.522 272.784),"POLYGON((826.146 265.5684,834.12 263.7924,830.748 279.9774,822.81 281.7468,826.146 265.5684))",POINT(0.89907593087639 288.22370099821),"POLYGON((0.894446 287.820239,0.901721 287.54968,0.903596 288.624766,0.896436 288.902242,0.894446 287.820239))",POINT(-171.15668 13),"POLYGON((-171.65668 12.5,-170.65668 12.5,-170.65668 13.5,-171.65668 13.5,-171.65668 12.5))",UTC-HGS-TOPO,POINT(61 13),"POLYGON((60.5 12.5,61.5 12.5,61.5 13.5,60.5 13.5,60.5 12.5))",2015-02-18 22:08:00,True,,12282,61.5,13.5,60.5,12.5,272.784,828.522,13,61,872.2727871142147,1
143,143,2015-03-03 00:17:00,2015-03-03 00:34:00,C3.5,POINT(0 122.3934),"POLYGON((-8.4825 113.9694,8.4825 113.9694,8.48244 130.7988,-8.48244 130.7988,-8.4825 113.9694))",POINT(0.126499712218307 0),"POLYGON((0.118119 4.256555,0.118119 355.743445,0.135471 356.289504,0.135471 3.710496,0.118119 4.256555))",POINT(-31.52393 0),"POLYGON((-32.02393 -0.5,-31.02393 -0.5,-31.02393 0.5,-32.02393 0.5,-32.02393 -0.5))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-0.5 -0.5,0.5 -0.5,0.5 0.5,-0.5 0.5,-0.5 -0.5))",2015-03-03 00:27:00,True,,12290,0.5,0.5,-0.5,-0.5,122.3934,0.0,0,0,122.3934,1
353,353,2015-05-13 05:47:00,2015-05-13 06:17:00,C3.5,POINT(-357.9258 305.2866),"POLYGON((-366.1692 297.237,-351.4272 297.5652,-349.6644 313.3092,-364.3326 312.9822,-366.1692 297.237))",POINT(0.495646426970051 49.538055405767),"POLYGON((0.496898 50.932115,0.485161 49.744291,0.494657 48.138761,0.506047 49.335567,0.496898 50.932115))",POINT(85.40943 16),"POLYGON((84.90943 15.5,85.90943 15.5,85.90943 16.5,84.90943 16.5,84.90943 15.5))",UTC-HGS-TOPO,POINT(-23 16),"POLYGON((-23.5 15.5,-22.5 15.5,-22.5 16.5,-23.5 16.5,-23.5 15.5))",2015-05-13 05:59:00,True,,12342,-22.5,16.5,-23.5,15.5,305.2866,-357.9258,16,-23,470.43680388039365,1
389,389,2015-06-05 17:24:00,2015-06-05 17:45:00,C3.5,POINT(-749.754 246.6828),"POLYGON((-756.024 238.6656,-746.892 238.7166,-743.394 254.682,-752.49 254.6298,-756.024 238.6656))",POINT(0.835083234729245 71.7878474163321),"POLYGON((0.838795 72.479864,0.829603 72.27543,0.831398 71.08887,0.840491 71.305056,0.838795 72.479864))",POINT(102.71165 15),"POLYGON((102.21165 14.5,103.21165 14.5,103.21165 15.5,102.21165 15.5,102.21165 14.5))",UTC-HGS-TOPO,POINT(-55 15),"POLYGON((-55.5 14.5,-54.5 14.5,-54.5 15.5,-55.5 15.5,-55.5 14.5))",2015-06-05 17:34:00,True,,12361,-54.5,15.5,-55.5,14.5,246.6828,-749.754,15,-55,789.2930155093482,1
418,418,2015-06-13 01:34:00,2015-06-13 01:49:00,C3.5,POINT(868.68 241.1352),"POLYGON((868.212 233.0604,873.084 233.2362,869.01 249.1908,864.156 249.0168,868.212 233.0604))",POINT(0.954703531789565 285.514019377808),"POLYGON((0.951973 285.026085,0.957005 284.956767,0.957357 286.000377,0.952365 286.074964,0.951973 285.026085))",POINT(132.558674 15),"POLYGON((132.058674 14.5,133.058674 14.5,133.058674 15.5,132.058674 15.5,132.058674 14.5))",UTC-HGS-TOPO,POINT(72 15),"POLYGON((71.5 14.5,72.5 14.5,72.5 15.5,71.5 15.5,71.5 14.5))",2015-06-13 01:42:00,True,,12360,72.5,15.5,71.5,14.5,241.1352,868.68,15,72,901.5271083439698,1
