,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
392,392,2011-08-21 20:38:00,2011-08-21 20:48:00,B6.3,POINT(-139.9134 -429.498),"POLYGON((-147.1392 -436.731,-131.7732 -437.0286,-132.6174 -422.2242,-148.0824 -421.9242,-147.1392 -436.731))",POINT(0.476522834266534 161.956446559731),"POLYGON((0.486163 161.380796,0.481534 163.22085,0.466869 162.562894,0.471716 160.660498,0.486163 161.380796))",POINT(51.619003 -20),"POLYGON((51.119003 -20.5,52.119003 -20.5,52.119003 -19.5,51.119003 -19.5,51.119003 -20.5))",UTC-HGS-TOPO,POINT(-9 -20),"POLYGON((-9.5 -20.5,-8.5 -20.5,-8.5 -19.5,-9.5 -19.5,-9.5 -20.5))",2011-08-21 20:41:00,True,,11272,-8.5,-19.5,-9.5,-20.5,-429.498,-139.9134,-20,-9,451.7126204829349,1
373,373,2015-05-21 05:22:00,2015-05-21 05:53:00,B6.3,POINT(775.284 -63.7398),"POLYGON((769.92 -71.7726,779.34 -72.2412,780.528 -55.70496,771.102 -55.23438,769.92 -71.7726))",POINT(0.820958226610465 265.300010828414),"POLYGON((0.81606 264.67423,0.826004 264.704081,0.825827 265.917819,0.815869 265.902876,0.81606 264.67423))",POINT(57.8268157 -5),"POLYGON((57.326816 -5.5,58.326816 -5.5,58.326816 -4.5,57.326816 -4.5,57.326816 -5.5))",UTC-HGS-TOPO,POINT(55 -5),"POLYGON((54.5 -5.5,55.5 -5.5,55.5 -4.5,54.5 -4.5,54.5 -5.5))",2015-05-21 05:37:00,True,,12346,55.5,-4.5,54.5,-5.5,-63.7398,775.284,-5,55,777.8997639542257,1
663,663,2015-09-23 22:27:00,2015-09-23 22:35:00,B6.3,POINT(-587.1732 -423.4806),"POLYGON((-591.012 -430.296,-579.2922 -431.5644,-583.2048 -416.6304,-595.0038 -415.3542,-591.012 -430.296))",POINT(0.757464143947333 125.799867262819),"POLYGON((0.764901 126.057106,0.755814 126.685583,0.749912 125.541291,0.759226 124.917731,0.764901 126.057106))",POINT(99.37551 -21),"POLYGON((98.87551 -21.5,99.87551 -21.5,99.87551 -20.5,98.87551 -20.5,98.87551 -21.5))",UTC-HGS-TOPO,POINT(-41 -21),"POLYGON((-41.5 -21.5,-40.5 -21.5,-40.5 -20.5,-41.5 -20.5,-41.5 -21.5))",2015-09-23 22:32:00,True,,12422,-40.5,-20.5,-41.5,-21.5,-423.4806,-587.1732,-21,-41,723.9531651803175,1
674,674,2015-09-26 06:11:00,2015-09-26 06:17:00,B6.3,POINT(-198.8172 -476.4186),"POLYGON((-205.5468 -483.4446,-190.5762 -483.8706,-192.0012 -469.3488,-207.0834 -468.9204,-205.5468 -483.4446))",POINT(0.539778265927613 157.348432077147),"POLYGON((0.54928 156.966192,0.543761 158.502614,0.530225 157.751513,0.535984 156.172913,0.54928 156.966192))",POINT(96.72634 -23),"POLYGON((96.22634 -23.5,97.22634 -23.5,97.22634 -22.5,96.22634 -22.5,96.22634 -23.5))",UTC-HGS-TOPO,POINT(-13 -23),"POLYGON((-13.5 -23.5,-12.5 -23.5,-12.5 -22.5,-13.5 -22.5,-13.5 -23.5))",2015-09-26 06:14:00,True,,12422,-12.5,-22.5,-13.5,-23.5,-476.4186,-198.8172,-23,-13,516.2392482578208,1
824,824,2015-11-29 06:55:00,2015-11-29 07:52:00,B6.3,POINT(-316.7058 66.4044),"POLYGON((-324.9522 57.95652,-308.8962 57.8457,-308.4234 74.8488,-324.4548 74.9586,-324.9522 57.95652))",POINT(0.33286402103014 78.1582106568153),"POLYGON((0.339538 79.887402,0.32327 79.393307,0.326469 76.359059,0.342542 76.991231,0.339538 79.887402))",POINT(-33.69456 5),"POLYGON((-34.19456 4.5,-33.19456 4.5,-33.19456 5.5,-34.19456 5.5,-34.19456 4.5))",UTC-HGS-TOPO,POINT(-19 5),"POLYGON((-19.5 4.5,-18.5 4.5,-18.5 5.5,-19.5 5.5,-19.5 4.5))",2015-11-29 07:37:00,True,,12459,-18.5,5.5,-19.5,4.5,66.4044,-316.7058,5,-19,323.59250314709084,1
345,345,2012-06-29 05:10:00,2012-06-29 05:28:00,B6.3,POINT(63.198 -319.2762),"POLYGON((55.15842 -327.0684,70.8888 -327.0144,71.2698 -311.4558,55.455 -311.5098,55.15842 -327.0684))",POINT(0.345034701156705 191.196478914684),"POLYGON((0.351624 189.572568,0.354723 192.231094,0.338711 192.88897,0.335426 190.094055,0.351624 189.572568))",POINT(-96.57116 -17),"POLYGON((-97.07116 -17.5,-96.07116 -17.5,-96.07116 -16.5,-97.07116 -16.5,-97.07116 -17.5))",UTC-HGS-TOPO,POINT(4 -17),"POLYGON((3.5 -17.5,4.5 -17.5,4.5 -16.5,3.5 -16.5,3.5 -17.5))",2012-06-29 05:14:00,True,,11512,4.5,-16.5,3.5,-17.5,-319.2762,63.198,-17,4,325.4708575132957,1
596,596,2012-08-28 03:03:00,2012-08-28 03:09:00,B6.3,POINT(-889.344 162.4338),"POLYGON((-893.268 155.2716,-888.582 153.3546,-885.294 169.5906,-889.962 171.4986,-893.268 155.2716))",POINT(0.952238204314048 79.649330075697),"POLYGON((0.954984 80.139134,0.949776 80.20815,0.949431 79.155561,0.954639 79.092617,0.954984 80.139134))",POINT(114.04032 12),"POLYGON((113.54032 11.5,114.54032 11.5,114.54032 12.5,113.54032 12.5,113.54032 11.5))",UTC-HGS-TOPO,POINT(-73 12),"POLYGON((-73.5 11.5,-72.5 11.5,-72.5 12.5,-73.5 12.5,-73.5 11.5))",2012-08-28 03:07:00,True,,11558,-72.5,12.5,-73.5,11.5,162.4338,-889.344,12,-73,904.0561319511305,1
720,720,2012-11-22 07:49:00,2012-11-22 07:55:00,B6.3,POINT(16.8996 86.124),"POLYGON((8.45886 77.637,25.37406 77.6472,25.31952 94.6068,8.44074 94.5972,8.45886 77.637))",POINT(0.090386264855433 348.898242827205),"POLYGON((0.080428 353.781924,0.084126 341.903305,0.10086 345.01712,0.097808 354.901103,0.080428 353.781924))",POINT(130.75985 7),"POLYGON((130.25985 6.5,131.25985 6.5,131.25985 7.5,130.25985 7.5,130.25985 6.5))",UTC-HGS-TOPO,POINT(1 7),"POLYGON((0.5 6.5,1.5 6.5,1.5 7.5,0.5 7.5,0.5 6.5))",2012-11-22 07:53:00,True,,11618,1.5,7.5,0.5,6.5,86.124,16.8996,7,1,87.76639366044385,1
746,746,2012-12-10 00:44:00,2012-12-10 00:56:00,B6.3,POINT(-32.0763 339.4086),"POLYGON((-40.2171 331.3932,-24.13524 331.3974,-23.9817 347.3976,-39.96126 347.3934,-40.2171 331.3932))",POINT(0.350109284266608 5.39878548027779),"POLYGON((0.342822 6.919444,0.34123 4.165423,0.35761 3.949002,0.359109 6.56199,0.342822 6.919444))",POINT(-105.56693 20),"POLYGON((-106.06693 19.5,-105.06693 19.5,-105.06693 20.5,-106.06693 20.5,-106.06693 19.5))",UTC-HGS-TOPO,POINT(-2 20),"POLYGON((-2.5 19.5,-1.5 19.5,-1.5 20.5,-2.5 20.5,-2.5 19.5))",2012-12-10 00:52:00,True,,11630,-1.5,20.5,-2.5,19.5,339.4086,-32.0763,20,-2,340.92093918627234,1
49,49,2013-02-17 21:21:00,2013-02-17 21:30:00,B6.3,POINT(-310.2972 310.1058),"POLYGON((-318.7272 301.7076,-302.9784 302.3718,-301.8486 318.4704,-317.5386 317.8086,-318.7272 301.7076))",POINT(0.452124909940699 45.0176762714734),"POLYGON((0.452318 46.571328,0.441155 45.057414,0.452226 43.465094,0.463016 44.975651,0.452318 46.571328))",POINT(37.435579 12),"POLYGON((36.935579 11.5,37.935579 11.5,37.935579 12.5,36.935579 12.5,36.935579 11.5))",UTC-HGS-TOPO,POINT(-19 12),"POLYGON((-19.5 11.5,-18.5 11.5,-18.5 12.5,-19.5 12.5,-19.5 11.5))",2013-02-17 21:25:00,True,,11675,-18.5,12.5,-19.5,11.5,310.1058,-310.2972,12,-19,438.6911892453277,1
