,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
0,2016-01-01 04:38:00,2016-01-01 04:51:00,B6.2,POINT(850.36092 -298.99632),"POLYGON((17.098537 67.742196,17.098537 67.742196,17.098537 67.742196,17.098537 67.742196,17.098537 67.742196))",POINT(0.92427572138211 250.627760840692),"POLYGON((0.07164 345.834086,0.07164 345.834086,0.07164 345.834086,0.07164 345.834086,0.07164 345.834086))",POINT(-21.21624 -19),"POLYGON((-87.21624 1,-87.21624 1,-87.21624 1,-87.21624 1,-87.21624 1))",UTC-HGS-TOPO,POINT(67 -19),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-01 04:41:00,true,,2473,68.0,-18.0,66.0,-20.0,-298.99632,850.36092,-19.0,67.0,901.394749062134679,0.0
1,2016-01-01 06:33:00,2016-01-01 06:43:00,C2.3,POINT(855.34758 -282.6777),"POLYGON((17.098547 67.902222,17.098547 67.902222,17.098547 67.902222,17.098547 67.902222,17.098547 67.902222))",POINT(0.923713906413224 251.712165617115),"POLYGON((0.071799 345.866123,0.071799 345.866123,0.071799 345.866123,0.071799 345.866123,0.071799 345.866123))",POINT(-22.26806 -18),"POLYGON((-88.26806 1,-88.26806 1,-88.26806 1,-88.26806 1,-88.26806 1))",UTC-HGS-TOPO,POINT(67 -18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-01 06:38:00,true,,2473,68.0,-17.0,66.0,-19.0,-282.6777,855.34758,-18.0,67.0,900.847470268494703,0.0
2,2016-01-01 09:36:00,2016-01-01 09:56:00,C2.4,POINT(883.41276 -286.433646),"POLYGON((17.098564 68.156652,17.098564 68.156652,17.098564 68.156652,17.098564 68.156652,17.098564 68.156652))",POINT(0.952260659967299 252.035473011327),"POLYGON((0.072052 345.916769,0.072052 345.916769,0.072052 345.916769,0.072052 345.916769,0.072052 345.916769))",POINT(-18.94183 -18),"POLYGON((-89.94183 1,-89.94183 1,-89.94183 1,-89.94183 1,-89.94183 1))",UTC-HGS-TOPO,POINT(72 -18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-01 09:48:00,true,,2473,73.0,-17.0,71.0,-19.0,-286.433646,883.41276,-18.0,72.0,928.688504339141105,0.0
3,2016-01-01 17:30:00,2016-01-01 17:43:00,B8.4,POINT(872.98962 -284.654142),"POLYGON((17.098598 68.81445,17.098598 68.81445,17.098598 68.81445,17.098598 68.81445,17.098598 68.81445))",POINT(0.941530388148683 251.940500161845),"POLYGON((0.072707 346.046079,0.072707 346.046079,0.072707 346.046079,0.072707 346.046079,0.072707 346.046079))",POINT(-25.27713 -18),"POLYGON((-94.27713 1,-94.27713 1,-94.27713 1,-94.27713 1,-94.27713 1))",UTC-HGS-TOPO,POINT(70 -18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-01 17:36:00,true,,2473,71.0,-17.0,69.0,-19.0,-284.654142,872.98962,-18.0,70.0,918.225929270950587,0.0
4,2016-01-01 20:18:00,2016-01-01 20:23:00,B5.5,POINT(872.85366 -318.52686),"POLYGON((17.098609 69.04716,17.098609 69.04716,17.098609 69.04716,17.098609 69.04716,17.098609 69.04716))",POINT(0.952738341022802 249.95166718262),"POLYGON((0.072938 346.091271,0.072938 346.091271,0.072938 346.091271,0.072938 346.091271,0.072938 346.091271))",POINT(-24.81369 -20),"POLYGON((-95.81369 1,-95.81369 1,-95.81369 1,-95.81369 1,-95.81369 1))",UTC-HGS-TOPO,POINT(72 -20),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-01 20:21:00,true,,2473,73.0,-19.0,71.0,-21.0,-318.52686,872.85366,-20.0,72.0,929.157076234613442,0.0
5,2016-01-01 22:25:00,2016-01-01 22:33:00,C2.7,POINT(870.3405 -352.009296),"POLYGON((17.098615 69.22293,17.098615 69.22293,17.098615 69.22293,17.098615 69.22293,17.098615 69.22293))",POINT(0.962657065064641 247.979125312621),"POLYGON((0.073113 346.125216,0.073113 346.125216,0.073113 346.125216,0.073113 346.125216,0.073113 346.125216))",POINT(-23.97526 -22),"POLYGON((-96.97526 1,-96.97526 1,-96.97526 1,-96.97526 1,-96.97526 1))",UTC-HGS-TOPO,POINT(74 -22),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-01 22:30:00,true,,2473,75.0,-21.0,73.0,-23.0,-352.009296,870.3405,-22.0,74.0,938.830725110051844,0.0
6,2016-01-01 23:10:00,2016-01-02 01:20:00,M2.4,POINT(875.89056 -405.303486),"POLYGON((17.098618 69.28518,17.098618 69.28518,17.098618 69.28518,17.098618 69.28518,17.098618 69.28518))",POINT(0.989612619119119 245.168461104549),"POLYGON((0.073175 346.1372,0.073175 346.1372,0.073175 346.1372,0.073175 346.1372,0.073175 346.1372))",POINT(-16.38683 -25),"POLYGON((-97.38683 1,-97.38683 1,-97.38683 1,-97.38683 1,-97.38683 1))",UTC-HGS-TOPO,POINT(82 -25),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-02 00:10:00,true,,2473,83.0,-24.0,81.0,-26.0,-405.303486,875.89056,-25.0,82.0,965.119261470242236,0.0
7,2016-01-01 23:10:00,2016-01-02 01:20:00,M2.4,POINT(875.89056 -405.303486),"POLYGON((17.098618 69.28518,17.098618 69.28518,17.098618 69.28518,17.098618 69.28518,17.098618 69.28518))",POINT(0.989612619119119 245.168461104549),"POLYGON((0.073175 346.1372,0.073175 346.1372,0.073175 346.1372,0.073175 346.1372,0.073175 346.1372))",POINT(-16.38683 -25),"POLYGON((-97.38683 1,-97.38683 1,-97.38683 1,-97.38683 1,-97.38683 1))",UTC-HGS-TOPO,POINT(82 -25),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-02 00:10:00,true,,2473,83.0,-24.0,81.0,-26.0,-405.303486,875.89056,-25.0,82.0,965.119261470242236,0.0
8,2016-01-03 20:20:00,2016-01-03 20:27:00,B4.7,POINT(-595.24614 -109.382712),"POLYGON((17.098593 73.003128,17.098593 73.003128,17.098593 73.003128,17.098593 73.003128,17.098593 73.003128))",POINT(0.620572328426232 100.412533472204),"POLYGON((0.076882 346.817957,0.076882 346.817957,0.076882 346.817957,0.076882 346.817957,0.076882 346.817957))",POINT(-161.17247 -9),"POLYGON((-122.17247 1,-122.17247 1,-122.17247 1,-122.17247 1,-122.17247 1))",UTC-HGS-TOPO,POINT(-38 -9),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-03 20:24:00,true,,2476,-37.0,-8.0,-39.0,-10.0,-109.382712,-595.24614,-9.0,-38.0,605.212809571455182,0.0
9,2016-01-06 00:14:00,2016-01-06 00:37:00,B4.4,POINT(-167.550528 -111.486858),"POLYGON((17.09821 77.196492,17.09821 77.196492,17.09821 77.196492,17.09821 77.196492,17.09821 77.196492))",POINT(0.206364131165308 123.639494722187),"POLYGON((0.081076 347.511206,0.081076 347.511206,0.081076 347.511206,0.081076 347.511206,0.081076 347.511206))",POINT(-161.65206 -10),"POLYGON((-150.65206 1,-150.65206 1,-150.65206 1,-150.65206 1,-150.65206 1))",UTC-HGS-TOPO,POINT(-10 -10),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-06 00:25:00,true,,2476,-9.0,-9.0,-11.0,-11.0,-111.486858,-167.550528,-10.0,-10.0,201.252326545038812,0.0
